timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL
1,52EnNDPL2023/06/12,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,24.9228,51.0920,0.0000,0.0000,6.7480,0.0000,27.6734,578.4936,35.8827,0.0000,87.0080,0.0000,0.0000,116.1600,0.0000,131.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,6.3607,28.2243,36.2432,0.0000,64.2393,39.5767,6.3087,13.0057,4.4487,13.4050,45.2547,0.0000,11.5958,19.3258,24.8906,0.0000,7.4228,2.4795,4.8494,0.0000,11.8278,0.0000,0.0000,0.0000,15.5341,0.0000,0.0000,0.0000,0.0000,11.5169,10.1114,12.9295,12.1214,8.9159,5.5922,15.1670,0.9771,0.0000,3.5373,2.0097,0.0000,0.0000,0.0000,263.7430,0.0000,0.9760,7.0800,0.0000,0.0000,200.0000,8.9300,7.9300,0.0000,0.0000,0.0000,0.0000,0.0000,23.2500,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8234
2,52EnNDPL2023/06/12,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,24.9228,51.0920,0.0000,0.0000,6.7480,0.0000,27.6734,578.4936,35.8827,0.0000,87.0080,0.0000,0.0000,116.1600,0.0000,131.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,6.3607,28.2243,36.2432,0.0000,64.2393,39.5767,6.3087,13.0057,4.4487,13.4050,45.2547,0.0000,11.5958,19.3258,24.8906,0.0000,7.4228,2.4795,4.8494,0.0000,11.8278,0.0000,0.0000,0.0000,15.5341,0.0000,0.0000,0.0000,0.0000,11.5169,10.1114,12.9295,12.1214,8.9159,5.5922,15.1670,0.9771,0.0000,3.5373,2.0097,0.0000,0.0000,0.0000,263.7430,0.0000,0.9760,7.0800,0.0000,0.0000,200.0000,8.9300,7.9300,0.0000,0.0000,0.0000,0.0000,0.0000,23.4900,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8234
3,52EnNDPL2023/06/12,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,24.9228,51.0920,0.0000,0.0000,6.7480,0.0000,27.6734,578.4936,28.7044,0.0000,87.0080,0.0000,0.0000,116.1600,0.0000,131.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,6.3607,28.2243,36.2432,0.0000,64.2393,33.5931,6.3087,13.0057,4.4487,13.4050,45.2547,0.0000,11.5958,19.3258,24.8906,0.0000,7.4228,2.4795,4.8494,0.0000,11.8278,0.0000,0.0000,0.0000,15.5341,0.0000,0.0000,0.0000,0.0000,11.5169,10.1114,12.9295,12.1214,8.9159,5.5922,15.1670,0.9771,0.0000,3.5373,2.0097,0.0000,0.0000,0.0000,263.7430,0.0000,0.9760,7.0800,0.0000,0.0000,200.0000,8.9300,7.9300,0.0000,0.0000,0.0000,0.0000,0.0000,23.7900,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8234
4,52EnNDPL2023/06/12,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,24.9228,51.0920,0.0000,0.0000,6.7480,0.0000,27.6734,578.4936,21.5290,0.0000,87.0080,0.0000,0.0000,116.1600,0.0000,131.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,6.3607,28.2243,36.2432,0.0000,64.2393,33.5931,6.3087,13.0057,4.4487,13.4050,45.2547,0.0000,11.5958,19.3258,24.8906,0.0000,7.4228,2.4795,4.8494,0.0000,11.8278,0.0000,0.0000,0.0000,15.5341,0.0000,0.0000,0.0000,0.0000,11.5169,10.1114,12.9295,12.1214,8.9159,5.5922,15.1670,0.9771,0.0000,3.5373,2.0097,0.0000,0.0000,0.0000,263.7430,0.0000,0.9760,7.0800,0.0000,0.0000,200.0000,8.9300,7.9300,0.0000,0.0000,0.0000,0.0000,0.0000,23.9200,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8234
5,52EnNDPL2023/06/12,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,24.9228,51.0920,0.0000,0.0000,6.7480,0.0000,27.6734,578.4936,21.5290,0.0000,87.0080,0.0000,0.0000,116.1600,0.0000,131.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,6.3607,28.2243,36.2432,0.0000,64.2393,33.8249,6.3087,13.0057,4.4487,13.4050,45.2547,0.0000,11.9189,19.6584,24.8906,0.0000,7.4228,2.4795,4.8494,0.0000,11.8278,0.0000,0.0000,0.0000,15.5341,0.0000,0.0000,0.0000,0.0000,11.5169,10.1114,12.9295,12.1214,8.9159,5.5922,15.1670,0.9771,0.0000,3.5373,4.0224,0.0000,0.0000,0.0000,263.7430,0.0000,0.9760,7.0800,0.0000,0.0000,200.0000,8.8400,7.9300,0.0000,0.0000,0.0000,0.0000,0.0000,24.0800,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8234
6,52EnNDPL2023/06/12,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,24.9228,51.0920,0.0000,0.0000,6.7480,0.0000,27.6734,578.4936,21.5290,0.0000,87.0080,0.0000,0.0000,116.1600,0.0000,131.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,6.3607,28.2243,36.2432,0.0000,64.2393,33.8249,6.3087,13.0057,4.4487,13.4050,45.2547,0.0000,11.9189,19.6584,24.8906,0.0000,7.4228,2.4795,4.8494,0.0000,11.8278,0.0000,0.0000,0.0000,15.5341,0.0000,0.0000,0.0000,0.0000,11.5169,10.1114,12.9295,12.1214,8.9159,5.5922,15.1670,0.9771,0.0000,1.1781,4.0224,0.0000,0.0000,0.0000,263.7430,0.0000,0.9760,7.0800,0.0000,0.0000,200.0000,8.8400,7.9300,0.0000,0.0000,0.0000,0.0000,0.0000,24.2600,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8234
7,52EnNDPL2023/06/12,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,24.9228,51.0920,0.0000,0.0000,6.7480,0.0000,27.6734,578.4936,21.5290,0.0000,87.0080,0.0000,0.0000,116.1600,0.0000,131.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,6.3607,28.2243,36.2432,0.0000,64.2393,33.8249,6.3087,13.0057,4.4487,13.4050,45.2547,0.0000,11.9189,19.6584,24.8906,0.0000,7.4228,2.4795,4.8494,0.0000,11.8278,0.0000,0.0000,0.0000,15.5341,0.0000,0.0000,0.0000,0.0000,11.5169,10.1114,12.9295,12.1214,8.9159,5.5922,15.1670,0.9771,0.0000,1.1781,4.0224,0.0000,0.0000,0.0000,263.7430,0.0000,0.9760,7.0800,0.0000,0.0000,200.0000,8.8400,7.9300,0.0000,0.0000,0.0000,0.0000,0.0000,20.9300,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8234
8,52EnNDPL2023/06/12,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,24.9228,51.0920,0.0000,0.0000,6.7480,0.0000,27.6734,578.4936,21.5290,0.0000,87.0080,0.0000,0.0000,116.1600,0.0000,131.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,6.3607,28.2243,36.2432,0.0000,64.2393,33.8249,6.3087,13.0057,4.4487,13.4050,45.2547,0.0000,11.9189,19.6584,24.8906,0.0000,7.4228,2.4795,4.8494,0.0000,11.8278,0.0000,0.0000,0.0000,15.5341,0.0000,0.0000,0.0000,0.0000,11.5169,10.1114,12.9295,12.1214,8.9159,2.7961,15.1670,0.9771,0.0000,1.1781,4.0224,0.0000,0.0000,0.0000,263.7430,0.0000,0.9760,7.0800,0.0000,0.0000,200.0000,8.8400,7.9300,0.0000,0.0000,0.0000,0.0000,0.0000,20.9300,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8234
9,52EnNDPL2023/06/12,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,24.9228,51.0920,0.0000,0.0000,6.7480,0.0000,27.6734,578.4936,21.5290,0.0000,87.0080,0.0000,0.0000,116.1600,0.0000,131.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,6.3607,28.2243,36.2432,0.0000,64.2393,33.8249,6.3087,13.0057,4.4487,13.4050,45.2547,0.0000,11.9189,19.6584,24.8906,0.0000,7.4228,2.4795,4.8494,0.0000,11.8278,0.0000,0.0000,0.0000,15.5341,0.0000,0.0000,0.0000,0.0000,11.5169,10.1114,4.3098,12.1214,8.9159,2.7961,15.1670,0.9771,0.0000,1.1781,4.0224,0.0000,0.0000,0.0000,263.7430,0.0000,0.9760,7.0100,0.0000,0.0000,200.0000,8.6500,7.6900,0.0000,0.0000,0.0000,0.0000,0.0000,21.3700,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8234
10,52EnNDPL2023/06/12,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,24.9228,51.0920,0.0000,0.0000,6.7480,0.0000,27.6734,578.4936,21.5290,0.0000,87.0080,0.0000,0.0000,116.1600,0.0000,131.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,6.3607,28.2243,36.2432,0.0000,64.2393,33.8249,6.3087,13.0057,4.4487,13.4050,45.2547,0.0000,11.9189,19.6584,24.8906,0.0000,7.4228,2.4795,4.8494,0.0000,11.8278,0.0000,0.0000,0.0000,15.5341,0.0000,0.0000,0.0000,0.0000,12.1918,10.1114,4.3098,12.1214,8.9159,2.7961,15.1670,0.9771,0.0000,1.1781,4.0224,0.0000,0.0000,0.0000,263.7430,0.0000,0.9760,7.0100,0.0000,0.0000,200.0000,8.6500,7.6900,0.0000,0.0000,0.0000,0.0000,0.0000,21.8200,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8234
