genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,0,0,0,0,0,,0.91095576,3.9178865,5.519038041055,4.059408380885,0,0,0,0,90.26509910176,5.10504742462,6.90636128413,1.94183,22.5838447461,,,4.4942887,13.811894525,,,,0,,0,,0,21.36964160023,,,,,,,0,0,0,7.1798371392,0,16.5898488415,27.858743068365,,,11.6878608,134.0271640125,0,,,35.983561207,,1.4785848,,1.80745257,0,,,1.475444315675,5.84360077125,3.6878691014,0,6.554724,4.4555462468,
2,0,0,0,0,0,0,0,0,,0.91095576,1.9534251,5.519038041055,4.059408380885,0,0,0,0,90.26509910176,5.10504742462,6.90636128413,1.94183,22.5838447461,,,4.4942887,13.811894525,,,,0,,0,,0,21.36964160023,,,,,,,0,0,0,7.1798371392,0,16.5898488415,27.858743068365,,,11.6878608,134.0271640125,0,,,35.983561207,,1.4785848,,1.80745257,0,,,1.475444315675,5.84360077125,3.6878691014,0,6.554724,4.4555462468,
3,0,0,0,0,0,0,0,0,,0.91095576,0,5.519038041055,4.059408380885,0,0,0,0,90.26509910176,5.10504742462,6.90636128413,1.94183,22.5838447461,,,4.4942887,13.811894525,,,,0,,0,,0,21.36964160023,,,,,,,0,0,0,7.1798371392,0,16.5898488415,27.858743068365,,,11.6878608,134.0271640125,0,,,35.983561207,,1.437513,,0.80530065,0,,,1.475444315675,5.84360077125,3.6878691014,0,6.554724,4.4555462468,
4,0,0,0,0,0,0,0,0,,0.91095576,0,5.519038041055,4.059408380885,0,0,0,0,90.26509910176,5.10504742462,6.90636128413,1.94183,22.5838447461,,,4.4942887,13.811894525,,,,0,,0,,0,21.36964160023,,,,,,,0,0,0,7.1798371392,0,16.5898488415,27.858743068365,,,11.6878608,134.0271640125,0,,,35.983561207,,1.437513,,0.80530065,0,,,1.475444315675,5.84360077125,3.6878691014,0,6.554724,4.4555462468,
5,0,0,0,0,0,0,0,0,,0.91095576,0,5.519038041055,4.059408380885,0,0,0,0,90.26509910176,5.10504742462,6.90636128413,1.94183,22.5838447461,,,4.4942887,13.811894525,,,,0,,0,,0,21.36964160023,,,,,,,0,0,0,7.1798371392,0,16.5898488415,27.858743068365,,,11.6878608,134.0271640125,0,,,35.983561207,,1.437513,,0.80530065,0,,,1.475444315675,5.84360077125,3.6878691014,0,6.554724,4.4555462468,
6,0,0,0,0,0,0,0,0,,0.91095576,0,5.519038041055,4.059408380885,0,0,0,0,90.26509910176,5.10504742462,6.90636128413,1.94183,22.5838447461,,,4.4942887,13.811894525,,,,0,,0,,0,21.36964160023,,,,,,,0,0,0,7.1798371392,0,16.5898488415,27.858743068365,,,11.6878608,134.0271640125,0,,,35.983561207,,1.437513,,1.80745257,0,,,1.475444315675,5.84360077125,3.6878691014,0,6.554724,4.4555462468,
7,0,0,0,0,0,0,0,0,,0.91095576,0,5.519038041055,4.059408380885,0,0,0,0,90.26509910176,5.10504742462,6.90636128413,1.94183,22.5838447461,,,4.4942887,13.811894525,,,,0,,0,,0,21.36964160023,,,,,,,0,0,0,7.1798371392,0,16.5898488415,27.858743068365,,,11.6878608,134.0271640125,0,,,35.983561207,,1.3964412,,1.80745257,0,,,1.475444315675,5.84360077125,3.6878691014,0,6.554724,4.4555462468,
8,0,0,0,0,0,0,0,0,,0.91095576,0,5.519038041055,4.059408380885,0,0,0,0,90.26509910176,5.10504742462,6.90636128413,1.94183,22.5838447461,,,4.4942887,13.811894525,,,,0,,0,,0,21.36964160023,,,,,,,0,0,0,7.1798371392,0,16.5898488415,27.858743068365,,,11.6878608,134.0271640125,0,,,35.983561207,,1.3964412,,1.80745257,0,,,1.475444315675,5.84360077125,3.6878691014,0,6.554724,4.4555462468,
9,0,0,0,0,0,0,0,0,,0.91095576,0,5.519038041055,4.059408380885,0,0,0,0,90.26509910176,5.10504742462,6.90636128413,1.94183,22.5838447461,,,4.4942887,13.811894525,,,,0,,0,,0,21.36964160023,,,,,,,0,0,0,7.1798371392,0,16.5898488415,27.858743068365,,,11.6878608,134.0271640125,0,,,35.983561207,,1.3964412,,1.80745257,0,,,1.475444315675,5.84360077125,3.6878691014,0,6.554724,4.4555462468,
10,0,0,0,0,0,0,0,0,,0.91095576,0,5.519038041055,4.059408380885,0,0,0,0,90.26509910176,5.10504742462,6.90636128413,1.94183,22.5838447461,,,4.4942887,13.811894525,,,,0,,0,,0,21.36964160023,,,,,,,0,0,0,7.1798371392,0,16.5898488415,27.858743068365,,,11.6878608,134.0271640125,0,,,35.983561207,,1.3964412,,1.80745257,0,,,1.475444315675,5.84360077125,3.6878691014,0,6.554724,4.4555462468,
