timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP,TEHRIPSP_P
14,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,2.6857,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.4703,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,1.1664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
15,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,2.6857,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.8748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
16,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,2.6857,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.8748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
17,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,2.6857,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.8748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
18,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,2.6857,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
19,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,2.6857,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
20,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,2.6857,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
21,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,2.6857,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
22,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,2.6857,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
23,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,2.0145,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
24,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,2.0145,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
25,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,2.0145,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
26,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,1.3432,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,2.8292,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
27,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,0.6713,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,2.8292,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
28,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.6500,6.8909,7.0346,4.5634,5.3743,0.6713,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,2.8292,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
29,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.5926,6.8684,7.0346,4.5634,5.3743,0.6713,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,2.8292,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
30,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.5926,6.8684,7.0346,4.5634,5.3743,0.6713,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
31,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.5926,6.8684,7.0346,4.5634,5.3743,0.6713,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
32,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.5926,6.8684,7.0346,4.5634,5.3743,0.6713,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
33,72EnNDMC2025/07/08,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,8.0737,12.0944,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3090,0.0000,0.0000,0.0000,3.3429,3.4449,3.4542,0.0000,6.6851,0.4243,1.3860,0.6867,0.0000,0.0000,0.0000,4.5361,6.8120,6.8005,4.5634,5.3743,0.6713,0.0000,0.0000,1.8227,0.0000,0.0000,3.0176,7.4252,0.0000,0.0000,0.0000,0.0000,0.0000,1.5841,0.0000,4.0240,2.5828,3.1293,4.0151,1.6970,0.0000,0.0000,0.0000,1.7047,0.0000,0.0000,68.5260,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0335,3.7323,0.0000,6.9616,0.5492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6852,3.2452,2.9547,0.0000,0.0000
