timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
1,10EnBRPL2024/04/13,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,76.6505,62.1036,32.5028,9.9685,19.8188,12.1865,15.2842,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.7934,6.8695,8.3838,0.0000,33.4248,0.0000,0.0000,0.0000,15.4305,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,14.4192,5.1655,0.0000,8.7858,0.0000,19.0678,0.0000,5.7272,1.4715,0.0000,0.0000,311.2800,0.0000,0.0423,0.0000,9.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,14.0400,36.4400,0.0000,2.6334,2.6143,0.0000,7.9430,10.9306,30.7800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
2,10EnBRPL2024/04/13,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,76.6505,62.1036,32.5028,9.9685,19.8188,12.1865,15.2842,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.7934,6.8695,8.3838,0.0000,33.4248,0.0000,0.0000,0.0000,15.4305,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,14.4192,5.1655,0.0000,8.7858,0.0000,19.0678,0.0000,5.7272,1.4715,0.0000,0.0000,311.2800,0.0000,0.0423,0.0000,9.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,14.3400,39.4900,0.0000,2.6334,2.6143,0.0000,7.9430,10.9306,30.7800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
3,10EnBRPL2024/04/13,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,76.6505,62.1036,32.5028,9.9685,19.8188,12.1865,15.2842,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.7934,6.8695,5.5892,0.0000,33.4248,0.0000,0.0000,0.0000,15.4305,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,7.2118,5.1655,0.0000,8.7858,0.0000,19.0678,0.0000,5.7272,1.4715,0.0000,0.0000,311.2800,0.0000,0.0423,0.0000,2.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,14.5300,40.3100,0.0000,2.6334,2.6143,0.0000,7.9430,10.9306,30.2800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
4,10EnBRPL2024/04/13,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,76.6505,62.1036,32.5028,9.9685,19.8188,12.1865,15.2842,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.7934,6.8695,5.5892,0.0000,33.4248,0.0000,0.0000,0.0000,15.4305,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,7.2118,5.1655,0.0000,8.7858,0.0000,19.0678,0.0000,5.7272,1.4715,0.0000,0.0000,311.2800,0.0000,0.0423,0.0000,2.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,14.7300,41.1300,0.0000,2.6334,2.6143,0.0000,7.9430,10.9306,30.2800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
5,10EnBRPL2024/04/13,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,76.6505,62.1036,32.5028,9.9685,19.8188,12.1865,15.2842,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.7934,6.8695,5.5892,0.0000,33.4248,0.0000,0.0000,0.0000,15.4305,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,7.2118,5.1655,0.0000,8.7858,0.0000,19.0678,0.0000,5.7272,1.4715,0.0000,0.0000,311.2800,0.0000,0.0423,0.0000,2.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,15.1400,42.0500,0.0000,2.6334,2.6143,0.0000,7.9430,10.9306,30.2800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
6,10EnBRPL2024/04/13,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,76.6505,62.1036,32.5028,9.9685,19.8188,12.1865,15.2842,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.7934,6.8695,5.5892,0.0000,33.4248,0.0000,0.0000,0.0000,15.4305,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,7.2118,5.1655,0.0000,8.7858,0.0000,19.0678,0.0000,5.7272,1.4715,0.0000,0.0000,311.2800,0.0000,0.0423,0.0000,2.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,15.4900,42.9700,0.0000,2.6334,2.6143,0.0000,7.9430,10.9306,29.2700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
7,10EnBRPL2024/04/13,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,76.6505,62.1036,32.5028,9.9685,19.8188,12.1865,15.2842,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.7934,6.8695,2.7946,0.0000,33.4248,0.0000,0.0000,0.0000,15.4305,0.0000,0.0000,0.0000,0.0000,16.9707,16.8611,0.0000,7.2118,5.1655,0.0000,8.7858,0.0000,19.0678,0.0000,5.7272,1.4715,0.0000,0.0000,311.2800,0.0000,0.0423,0.0000,2.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,15.8400,43.9100,0.0000,2.6334,2.6143,0.0000,7.9430,10.9306,29.2700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
8,10EnBRPL2024/04/13,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,76.6505,62.1036,32.5028,9.9685,19.8188,12.1865,15.2842,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.7934,6.8695,2.7946,0.0000,33.4248,0.0000,0.0000,0.0000,15.4305,0.0000,0.0000,0.0000,0.0000,16.9707,16.8611,0.0000,7.2118,5.1655,0.0000,8.7858,0.0000,19.0678,0.0000,5.7272,1.4715,0.0000,0.0000,311.2800,0.0000,0.0423,0.0000,2.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,16.1900,44.8700,0.0000,2.6334,2.6143,0.0000,7.9430,10.9306,29.2700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
9,10EnBRPL2024/04/13,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,76.6505,62.1036,32.5028,9.9685,19.8188,12.1865,15.2842,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.7934,6.8695,2.7946,0.0000,33.4248,0.0000,0.0000,0.0000,15.4305,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,7.2118,5.1655,0.0000,8.7858,0.0000,19.0678,0.0000,5.7272,1.4715,0.0000,0.0000,311.2800,0.0000,0.0423,0.0000,2.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,16.9500,42.7300,0.0000,2.6334,2.6143,0.0000,7.9430,10.9306,29.2700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
10,10EnBRPL2024/04/13,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,76.6505,62.1036,32.5028,9.9685,19.8188,12.1865,15.2842,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.7934,6.8695,2.7946,0.0000,33.4248,0.0000,0.0000,0.0000,15.4305,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,7.2118,5.1655,0.0000,8.7858,0.0000,19.0678,0.0000,5.7272,1.4715,0.0000,0.0000,311.2800,0.0000,0.0423,0.0000,2.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,16.8000,40.6800,0.0000,2.6334,2.6143,0.0000,7.9430,10.9306,29.2700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
