timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
1,62EnBRPL2024/04/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,37.0045,62.1036,32.5028,4.9865,19.8188,12.1865,20.3789,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.8970,6.8695,8.3838,0.0000,33.5096,0.0000,0.0000,0.0000,15.2019,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,21.6310,10.3310,0.0000,8.7858,0.0000,28.6091,0.1669,8.5908,1.4715,0.0000,0.0000,311.2800,0.0000,0.0434,0.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.0000,12.3300,0.0000,2.6334,2.6143,0.0000,7.9430,10.8889,30.2700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
2,62EnBRPL2024/04/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,37.0045,62.1036,32.5028,4.9865,19.8188,12.1865,20.3789,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.8970,6.8695,8.3838,0.0000,33.5096,0.0000,0.0000,0.0000,15.2019,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,21.6310,10.3310,0.0000,8.7858,0.0000,59.2175,0.1669,8.5908,1.4715,0.0000,0.0000,311.2800,0.0000,0.0434,0.0000,14.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.0000,12.3300,0.0000,2.6334,2.6143,0.0000,7.9430,10.8889,30.2700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
3,62EnBRPL2024/04/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,37.0045,62.1036,32.5028,4.9865,19.8188,12.1865,20.3789,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.8970,6.8695,5.5892,0.0000,33.5096,0.0000,0.0000,0.0000,15.2019,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,21.6310,10.3310,0.0000,8.7858,0.0000,59.2175,0.1669,8.5908,1.4715,0.0000,0.0000,311.2800,0.0000,0.0434,0.0000,13.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.0000,12.3300,0.0000,2.6334,2.6143,0.0000,7.9430,10.8889,30.2700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
4,62EnBRPL2024/04/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,37.0045,62.1036,32.5028,4.9865,19.8188,12.1865,20.3789,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.8970,6.8695,5.5892,0.0000,33.5096,0.0000,0.0000,0.0000,15.2019,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,21.6310,10.3310,0.0000,8.7858,0.0000,59.2175,0.1669,8.5908,1.4715,0.0000,0.0000,311.2800,0.0000,0.0434,0.0000,13.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.0000,12.3300,0.0000,2.6334,2.6143,0.0000,7.9430,10.8889,30.2700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
5,62EnBRPL2024/04/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,37.0045,62.1036,32.5028,4.9865,19.8188,12.1865,20.3789,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.8970,6.8695,5.5892,0.0000,33.5096,0.0000,0.0000,0.0000,15.2019,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,21.6310,10.3310,0.0000,8.7858,0.0000,59.2175,0.1669,8.5908,1.4715,0.0000,0.0000,311.2800,0.0000,0.0434,0.0000,12.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.0000,12.3300,0.0000,2.6334,2.6143,0.0000,7.9430,10.8889,29.7700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
6,62EnBRPL2024/04/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,37.0045,62.1036,32.5028,4.9865,19.8188,12.1865,20.3789,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.8970,6.8695,5.5892,0.0000,33.5096,0.0000,0.0000,0.0000,15.2019,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,21.6310,10.3310,0.0000,8.7858,0.0000,59.2175,0.1669,8.5908,1.4715,0.0000,0.0000,311.2800,0.0000,0.0434,0.0000,11.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.0000,12.3300,0.0000,2.6334,2.6143,0.0000,7.9430,10.8889,28.7700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
7,62EnBRPL2024/04/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,37.0045,62.1036,32.5028,4.9865,19.8188,12.1865,20.3789,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.8970,6.8695,2.7946,0.0000,33.5096,0.0000,0.0000,0.0000,15.2019,0.0000,0.0000,0.0000,0.0000,16.9707,16.8611,0.0000,14.4192,10.3310,0.0000,8.7858,0.0000,59.2175,0.1669,8.5908,1.4715,0.0000,0.0000,311.2800,0.0000,0.0434,0.0000,10.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.0000,12.0000,0.0000,2.6334,2.6143,0.0000,7.9430,10.8889,28.7700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
8,62EnBRPL2024/04/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,37.0045,62.1036,32.5028,4.9865,19.8188,12.1865,20.3789,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.8970,6.8695,2.7946,0.0000,33.5096,0.0000,0.0000,0.0000,15.2019,0.0000,0.0000,0.0000,0.0000,16.9707,16.8611,0.0000,7.2118,5.1655,0.0000,8.7858,0.0000,28.6091,0.1669,5.7272,1.4715,0.0000,0.0000,311.2800,0.0000,0.0434,0.0000,9.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.0000,12.0000,0.0000,2.6334,2.6143,0.0000,7.9430,10.8889,28.7700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
9,62EnBRPL2024/04/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,37.0045,62.1036,32.5028,4.9865,19.8188,12.1865,20.3789,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.8970,6.8695,2.7946,0.0000,33.5096,0.0000,0.0000,0.0000,15.2019,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,7.2118,5.1655,0.0000,8.7858,0.0000,28.6091,0.1669,5.7272,1.4715,0.0000,0.0000,311.2800,0.0000,0.0434,0.0000,8.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,6.6600,12.0000,0.0000,2.6334,2.6143,0.0000,7.9430,10.8889,28.7700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
10,62EnBRPL2024/04/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.6366,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,18.1527,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.2699,0.0000,0.0000,9.1354,66.1852,54.8391,37.0045,62.1036,32.5028,4.9865,19.8188,12.1865,20.3789,65.1334,0.0000,23.4494,37.9002,48.4816,0.0000,15.8970,6.8695,2.7946,0.0000,33.5096,0.0000,0.0000,0.0000,15.2019,0.0000,0.0000,0.0000,0.0000,14.5463,16.8611,0.0000,7.2118,5.1655,0.0000,8.7858,0.0000,28.6091,0.1669,5.7272,1.4715,0.0000,0.0000,311.2800,0.0000,0.0434,0.0000,7.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,6.6600,12.0000,0.0000,2.6334,2.6143,0.0000,7.9430,10.8889,28.7700,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
