timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL
11,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.2390,31.5237,6.1329,13.0053,8.0965,13.0359,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,0.0000,2.7213,0.0000,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,3.3871,2.9729,12.1186,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,4.0866,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,7.2600,0.0000,0.0000,200.0000,5.9000,7.1800,0.0000,0.0000,0.0000,0.0000,0.0000,20.7900,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
12,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.2390,31.5237,6.1329,13.0053,8.0965,13.0359,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,0.0000,2.7213,0.0000,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,3.3871,2.9729,12.1186,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,4.0866,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,7.2600,0.0000,0.0000,200.0000,5.9000,7.1800,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
13,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.2390,31.5237,6.1329,13.0053,8.0965,13.0359,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,0.0000,2.7213,0.0000,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,2.7090,2.9729,12.1186,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,7.1000,0.0000,0.0000,200.0000,5.7200,6.8700,0.0000,0.0000,0.0000,0.0000,0.0000,32.7700,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
14,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.2390,31.5237,6.1329,13.0053,8.0965,13.0359,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,0.0000,2.7213,0.0000,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,2.7090,2.9729,12.1186,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,7.1000,0.0000,0.0000,200.0000,5.7200,6.8700,0.0000,0.0000,0.0000,0.0000,0.0000,32.8700,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
15,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.2390,31.5237,6.1329,13.0053,8.0965,13.0359,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,0.0000,2.7213,0.0000,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,3.0496,2.9729,8.6057,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,7.1000,0.0000,0.0000,200.0000,5.7200,6.8700,0.0000,0.0000,0.0000,0.0000,0.0000,33.1900,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
16,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.2390,31.5237,6.1329,13.0053,8.0965,13.0359,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,0.0000,2.7213,0.0000,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,3.0496,2.9729,8.6057,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,7.1000,0.0000,0.0000,200.0000,5.7200,6.8700,0.0000,0.0000,0.0000,0.0000,0.0000,33.3400,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
17,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.2390,31.5237,6.1329,13.0053,8.0965,13.0359,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,0.0000,2.7213,0.0000,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,14.9043,2.9729,8.6057,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,6.9500,0.0000,0.0000,200.0000,5.4400,6.8700,0.0000,0.0000,0.0000,0.0000,0.0000,33.3400,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
18,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.2390,31.5237,6.1329,13.0053,8.0965,13.0359,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,0.0000,2.7213,0.0000,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,14.9043,2.9729,8.6057,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,6.9500,0.0000,0.0000,200.0000,5.4400,6.8700,0.0000,0.0000,0.0000,0.0000,0.0000,33.3400,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
19,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.2390,31.5237,6.1329,13.0053,8.0965,12.7567,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,0.0000,2.7213,0.0000,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,2.7090,2.9729,8.6057,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,6.9500,0.0000,0.0000,200.0000,5.4400,6.8700,0.0000,0.0000,0.0000,0.0000,0.0000,22.6100,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
20,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.2390,31.5237,6.1329,13.0053,8.0965,12.7567,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,0.0000,2.7213,0.0000,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,2.7090,2.9729,8.6057,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,6.9500,0.0000,0.0000,200.0000,5.4400,6.8700,0.0000,0.0000,0.0000,0.0000,0.0000,22.2200,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
21,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.2390,31.5237,6.1329,13.0053,8.0965,12.7567,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,0.0000,2.7213,0.0000,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,3.3871,2.9729,12.1186,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,6.9500,0.0000,0.0000,200.0000,5.2600,6.8700,0.0000,0.0000,0.0000,0.0000,0.0000,21.4500,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
22,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.2390,31.5237,6.1329,13.0053,8.0965,12.7567,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,4.6393,2.7213,0.0000,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,3.3871,2.9729,12.1186,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,2.0003,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,6.9500,0.0000,0.0000,200.0000,5.2600,6.8700,0.0000,0.0000,0.0000,0.0000,0.0000,20.9400,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
23,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.4123,31.5237,6.1329,13.0053,8.0965,12.7567,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,9.2785,2.7213,0.0000,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,3.3871,2.9729,12.1186,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,4.0221,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,7.1000,0.0000,0.0000,200.0000,5.2600,7.1800,0.0000,0.0000,0.0000,0.0000,0.0000,19.8900,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
24,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.4123,31.5237,6.1329,13.0053,8.0965,12.7567,45.2591,0.0000,12.2413,20.1568,25.5564,0.0000,14.3228,2.7213,1.5954,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,3.3871,2.9729,12.1186,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,4.0221,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,7.1000,0.0000,0.0000,200.0000,5.2600,7.1800,0.0000,0.0000,0.0000,0.0000,0.0000,19.5200,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
25,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.4123,31.5237,6.1329,13.0053,8.0965,12.7567,45.2591,0.0000,12.2413,19.9911,25.5564,0.0000,19.0971,2.7213,3.2306,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,2.7090,3.0956,12.9316,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,4.0221,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,7.1000,0.0000,0.0000,0.3700,5.2600,7.0300,0.0000,0.0000,0.0000,0.0000,0.0000,19.5200,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
26,49EnNDPL2023/09/20,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.3201,0.0000,0.0000,51.0920,0.0000,0.0000,10.6040,0.0000,23.5254,578.4950,35.8803,0.0000,69.6064,0.0000,0.0000,115.1600,0.0000,269.9200,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,53.4123,31.5237,6.1329,13.0053,8.0965,12.7567,45.2591,0.0000,12.2413,19.9911,25.5564,0.0000,19.0971,2.7213,4.0896,0.0000,12.2229,0.0000,0.0000,0.0000,15.6898,3.1570,0.0000,0.0000,0.0000,2.7090,3.0956,12.9316,12.1217,8.9156,0.0000,15.1682,0.0000,0.0000,3.7338,4.0221,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,7.1000,0.0000,0.0000,3.9300,5.2600,7.0300,0.0000,0.0000,0.0000,0.0000,0.0000,19.5100,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000
