timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
11,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,5.8110,0.0000,69.6064,0.0000,0.0000,70.5000,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,5.5439,22.8656,35.5815,0.0000,64.2351,41.3379,6.6962,6.3278,8.0958,14.2355,45.4984,0.0000,12.2389,20.3241,18.8351,0.0000,2.5133,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,5.9392,0.0000,10.1110,0.0000,0.0000,0.1565,6.0010,0.0000,0.0000,0.0000,213.1696,0.0000,0.6889,3.1100,0.0000,0.0000,200.0000,3.1600,3.6200,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9167,0.0000,0.0000,0.0000,0.0000,200.0000,12.5500,0.0000,0.0000,100.0000
12,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,5.8110,0.0000,69.6064,0.0000,0.0000,70.5000,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,5.5439,22.8656,35.5815,0.0000,64.2351,41.3379,6.6962,6.5015,8.0958,14.2355,45.4984,0.0000,12.2389,20.3241,19.1720,0.0000,0.0000,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,5.9392,0.0000,10.1110,0.0000,0.0000,0.1565,6.0010,0.0000,0.0000,0.0000,213.1696,0.0000,0.6889,3.1100,0.0000,0.0000,200.0000,3.1600,3.6200,0.0000,0.0000,0.0000,0.0000,0.0000,12.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9167,0.0000,0.0000,0.0000,0.0000,200.0000,12.5500,0.0000,0.0000,100.0000
13,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,5.8110,0.0000,69.6064,0.0000,0.0000,70.5000,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,5.5439,22.8656,35.5815,0.0000,64.2351,41.3379,6.6962,6.5015,8.0958,14.2355,45.4984,0.0000,12.2389,20.3241,19.1720,0.0000,0.0000,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,5.9392,0.0000,10.1110,0.0000,0.0000,0.1565,6.0010,0.0000,0.0000,0.0000,213.1696,0.0000,0.6889,3.7300,0.0000,0.0000,200.0000,3.1600,3.6200,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9167,0.0000,0.0000,0.0000,0.0000,200.0000,12.3700,0.0000,0.0000,100.0000
14,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,5.8110,0.0000,69.6064,0.0000,0.0000,70.5000,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,5.5439,22.8656,35.5815,0.0000,64.2351,41.3379,6.6962,6.5015,8.0958,14.2355,45.4984,0.0000,12.2389,20.3241,19.1720,0.0000,0.0000,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,5.9392,0.0000,10.1110,0.0000,0.0000,0.1565,6.0010,0.0000,0.0000,0.0000,213.1696,0.0000,0.6889,3.7300,0.0000,0.0000,200.0000,3.1600,3.6200,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9167,0.0000,0.0000,0.0000,0.0000,200.0000,12.3700,0.0000,0.0000,100.0000
15,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,5.8110,0.0000,69.6064,0.0000,0.0000,70.5000,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,5.5439,22.8656,35.5815,0.0000,64.2351,41.3379,6.6962,6.5015,8.0958,14.2355,45.4984,0.0000,12.2389,20.3241,19.1720,0.0000,0.0000,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,5.9392,0.0000,10.1110,0.0000,0.0000,0.1565,6.0010,0.0000,0.0000,0.0000,213.1696,0.0000,0.6889,3.7300,0.0000,0.0000,200.0000,3.1600,3.6200,0.0000,0.0000,0.0000,0.0000,0.0000,16.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9167,0.0000,0.0000,0.0000,0.0000,200.0000,12.3700,0.0000,0.0000,100.0000
16,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,5.8110,0.0000,69.6064,0.0000,0.0000,70.5000,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,5.5439,22.8656,35.5815,0.0000,64.2351,41.3379,6.6962,6.5015,8.0958,14.2355,45.4984,0.0000,12.2389,20.3241,19.1720,0.0000,0.0000,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,5.9392,0.0000,10.1110,0.0000,0.0000,0.1565,6.0010,0.0000,0.0000,0.0000,213.1696,0.0000,0.6889,3.7300,0.0000,0.0000,200.0000,3.1600,3.6200,0.0000,0.0000,0.0000,0.0000,0.0000,16.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9167,0.0000,0.0000,0.0000,0.0000,200.0000,12.3700,0.0000,0.0000,100.0000
17,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,5.8110,0.0000,69.6064,0.0000,0.0000,70.5000,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,5.5439,22.8656,35.5815,0.0000,64.2351,41.3379,6.6962,6.5015,8.0958,14.2355,45.4984,0.0000,12.2389,20.3241,19.1720,0.0000,0.0000,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,2.9696,0.0000,10.1110,0.0000,0.0000,0.1565,6.0010,0.0000,0.0000,0.0000,213.1696,0.0000,0.6889,3.7300,0.0000,0.0000,200.0000,3.1600,3.5400,0.0000,0.0000,0.0000,0.0000,0.0000,15.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9167,0.0000,0.0000,0.0000,0.0000,200.0000,12.2800,0.0000,0.0000,100.0000
18,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,5.8110,0.0000,69.6064,0.0000,0.0000,70.5000,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,5.5439,22.8656,35.5815,0.0000,64.2351,41.3379,6.6962,6.5015,8.0958,14.2355,45.4984,0.0000,12.2389,20.3241,19.1720,0.0000,0.0000,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,2.9696,0.0000,10.1110,0.0000,0.0000,0.1565,6.0010,0.0000,0.0000,0.0000,213.1696,0.0000,0.6889,3.7300,0.0000,0.0000,200.0000,3.1600,3.5400,0.0000,0.0000,0.0000,0.0000,0.0000,14.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9167,0.0000,0.0000,0.0000,0.0000,200.0000,12.2800,0.0000,0.0000,100.0000
19,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,5.8110,0.0000,69.6064,0.0000,0.0000,70.5000,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,5.7586,22.8656,35.5815,0.0000,64.2351,41.3379,6.6962,6.5015,8.0958,14.2355,45.4984,0.0000,12.2389,20.3241,19.1720,0.0000,0.0000,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,8.0825,2.9696,0.0000,10.1110,0.0000,0.0000,0.1565,6.0010,0.0000,0.0000,0.0000,213.1696,0.0000,0.6889,3.7300,0.0000,0.0000,200.0000,3.1600,3.5400,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9167,0.0000,0.0000,0.0000,0.0000,200.0000,12.2800,0.0000,0.0000,100.0000
20,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,581.5599,5.8110,0.0000,69.6064,0.0000,0.0000,70.5000,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,5.9703,22.8656,35.5815,0.0000,64.2351,41.3379,6.6962,6.5015,8.0958,14.2355,45.4984,0.0000,12.2389,20.3241,19.1720,0.0000,0.0000,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,8.0825,2.9696,0.0000,10.1110,0.0000,0.0000,0.1565,6.0010,0.0000,0.0000,0.0000,213.1696,0.0000,0.6889,3.7300,0.0000,0.0000,200.0000,3.1600,3.5400,0.0000,0.0000,0.0000,0.0000,0.0000,13.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9167,0.0000,0.0000,0.0000,0.0000,200.0000,12.2800,0.0000,0.0000,100.0000
