timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
11,86EnNDPL2024/08/16,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,330.7228,46.9384,0.0000,69.6064,200.1184,0.0000,70.0800,0.0000,133.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,4.3872,12.5781,36.4400,0.0000,62.9891,27.6140,4.6113,12.4367,7.9015,13.5943,38.0248,0.0000,13.1058,16.6595,21.7503,0.0000,14.3213,10.8888,4.8480,0.0000,12.3529,0.0000,0.0000,0.0000,15.8831,3.2459,0.0000,0.0000,0.0000,12.1953,5.7759,12.9316,12.1251,8.9150,11.2676,10.2341,4.8817,0.0000,2.9882,4.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.3834,200.0000,0.0000,0.0000,200.0000,4.9400,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3048,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000
12,86EnNDPL2024/08/16,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,330.7228,46.9384,0.0000,69.6064,200.1184,0.0000,70.0800,0.0000,133.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,4.3872,12.5781,36.4400,0.0000,62.9891,27.6140,4.7317,12.4367,7.9015,13.5943,38.0248,0.0000,13.1058,16.6595,21.7503,0.0000,14.3213,10.8888,4.8480,0.0000,12.3529,0.0000,0.0000,0.0000,15.8831,3.2459,0.0000,0.0000,0.0000,12.1953,5.7759,12.9316,12.1251,8.9150,11.2676,10.2341,4.8817,0.0000,2.9882,4.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.3834,200.0000,0.0000,0.0000,200.0000,4.9400,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3048,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000
13,86EnNDPL2024/08/16,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,330.7228,46.9384,0.0000,69.6064,200.1184,0.0000,70.0800,0.0000,133.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,4.3872,12.5781,36.4400,0.0000,62.9891,27.6140,4.7317,12.4367,8.0961,13.5943,38.0248,0.0000,13.1058,16.6595,21.7503,0.0000,14.3213,8.1666,4.8480,0.0000,12.3529,0.0000,0.0000,0.0000,15.8831,3.2459,0.0000,0.0000,0.0000,10.5018,5.7759,12.9316,12.1251,8.9150,11.2676,10.2341,5.4710,0.0000,2.9882,4.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.3834,200.0000,0.0000,0.0000,200.0000,4.8100,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3048,0.0000,0.0000,0.0000,0.0000,200.0000,18.3300,0.0000,0.0000,100.0000
14,86EnNDPL2024/08/16,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,330.7228,46.9384,0.0000,69.6064,200.1184,0.0000,70.0800,0.0000,133.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,4.3872,12.5781,36.4400,0.0000,62.9891,27.6140,4.7317,12.4367,8.0961,13.5943,38.0248,0.0000,13.1058,16.6595,21.7503,0.0000,14.3213,8.1666,4.8480,0.0000,12.3529,0.0000,0.0000,0.0000,15.8831,3.2459,0.0000,0.0000,0.0000,10.5018,5.7759,12.9316,12.1251,8.9150,11.2676,10.2341,5.4710,0.0000,2.9882,4.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.3834,200.0000,0.0000,0.0000,200.0000,4.8100,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3048,0.0000,0.0000,0.0000,0.0000,200.0000,18.3300,0.0000,0.0000,100.0000
15,86EnNDPL2024/08/16,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,330.7228,46.9384,0.0000,69.6064,200.1184,0.0000,70.0800,0.0000,133.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,4.3872,12.5781,36.4400,0.0000,62.9891,27.6140,4.7317,12.4367,8.0961,13.5943,38.0248,0.0000,13.1058,16.6595,21.7503,0.0000,14.3213,8.1666,4.8480,0.0000,12.3529,0.0000,0.0000,0.0000,15.8831,3.2920,0.0000,0.0000,0.0000,10.5018,5.5720,12.9316,12.1251,8.9150,11.2676,10.2341,5.4710,0.0000,0.3528,4.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.3834,200.0000,0.0000,0.0000,200.0000,5.3700,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3048,0.0000,0.0000,0.0000,0.0000,200.0000,18.3300,0.0000,0.0000,100.0000
16,86EnNDPL2024/08/16,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,330.7228,46.9384,0.0000,69.6064,200.1184,0.0000,70.0800,0.0000,133.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,4.3872,12.5781,36.4400,0.0000,62.9891,27.6140,4.7317,12.4367,8.0961,13.5943,38.0248,0.0000,13.1058,16.6595,21.7503,0.0000,14.3213,8.1666,4.8480,0.0000,12.3529,0.0000,0.0000,0.0000,15.8831,3.2920,0.0000,0.0000,0.0000,10.5018,5.5720,12.9316,12.1251,8.9150,11.2676,10.2341,5.4710,0.0000,0.3528,4.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.3834,200.0000,0.0000,0.0000,200.0000,5.3700,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3048,0.0000,0.0000,0.0000,0.0000,200.0000,18.3300,0.0000,0.0000,100.0000
17,86EnNDPL2024/08/16,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,330.7228,46.9384,0.0000,69.6064,200.1184,0.0000,70.0800,0.0000,133.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,4.3872,12.5781,36.4400,0.0000,62.9891,27.6140,4.7317,12.4367,8.0961,13.5943,38.0248,0.0000,13.1058,16.6595,21.7503,0.0000,14.3213,8.1666,4.8480,0.0000,12.3529,0.0000,0.0000,0.0000,15.8831,3.2920,0.0000,0.0000,0.0000,10.5018,6.1893,12.9316,12.1251,8.9150,11.2676,10.2341,5.4710,0.0000,1.7672,4.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.3834,200.0000,0.0000,0.0000,200.0000,5.2700,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3048,0.0000,0.0000,0.0000,0.0000,200.0000,18.0500,0.0000,0.0000,100.0000
18,86EnNDPL2024/08/16,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,330.7228,46.9384,0.0000,69.6064,200.1184,0.0000,70.0800,0.0000,133.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,4.3872,12.5781,36.4400,0.0000,62.9891,27.6140,4.7317,12.4367,8.0961,13.5943,38.0248,0.0000,13.1058,16.6595,21.7503,0.0000,14.3213,8.1666,4.8480,0.0000,12.3529,0.0000,0.0000,0.0000,15.8831,3.2920,0.0000,0.0000,0.0000,10.5018,6.1893,12.9316,12.1251,8.9150,11.2676,10.2341,5.4710,0.0000,3.6141,4.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.3834,200.0000,0.0000,0.0000,200.0000,5.2700,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3048,0.0000,0.0000,0.0000,0.0000,200.0000,18.0500,0.0000,0.0000,100.0000
19,86EnNDPL2024/08/16,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,330.7228,46.9384,0.0000,69.6064,200.1184,0.0000,70.0800,0.0000,133.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,4.3872,12.5781,36.4400,0.0000,62.9891,27.6140,4.7317,12.4367,8.0961,13.5943,38.0248,0.0000,13.1058,16.6595,21.7503,0.0000,14.3213,5.4444,4.8480,0.0000,12.3529,0.0000,0.0000,0.0000,15.8831,3.2920,0.0000,0.0000,0.0000,11.8548,10.0688,12.9316,12.1251,8.9150,11.2676,10.2341,5.4710,0.0000,3.6141,4.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.3834,200.0000,0.0000,0.0000,200.0000,5.2700,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3048,0.0000,0.0000,0.0000,0.0000,200.0000,18.0500,0.0000,0.0000,100.0000
20,86EnNDPL2024/08/16,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,330.7228,46.9384,0.0000,69.6064,200.1184,0.0000,70.0800,0.0000,133.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,4.3872,12.5781,36.4400,0.0000,62.9891,27.6140,4.6113,12.4367,7.9015,13.5943,38.0248,0.0000,13.1058,16.6595,21.7503,0.0000,14.3213,5.4444,4.8480,0.0000,12.3529,0.0000,0.0000,0.0000,15.8831,3.2398,0.0000,0.0000,0.0000,11.8548,10.0688,12.9316,12.1251,8.9150,11.2676,10.2341,5.4710,0.0000,3.6141,4.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.3834,200.0000,0.0000,0.0000,200.0000,5.2700,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3048,0.0000,0.0000,0.0000,0.0000,200.0000,18.0500,0.0000,0.0000,100.0000
