timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
11,74EnNDPL2024/09/29,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,63.6240,0.0000,0.0000,0.0000,0.0000,27.6734,330.5323,31.9692,0.0000,69.6064,0.0000,0.0000,70.5400,0.0000,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,63.8528,31.5251,6.3090,13.0081,0.0000,13.7815,27.6795,0.0000,8.6973,21.1575,27.5855,0.0000,4.7738,2.7222,0.0000,0.0000,12.3228,0.0000,0.0000,0.0000,15.7676,3.3012,0.0000,0.0000,0.0000,3.3871,2.8908,0.0000,3.0683,2.9708,11.2118,15.1648,0.0000,0.0000,3.3625,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,4.2800,5.0800,0.0000,0.0000,0.0000,0.0000,0.0000,8.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6730,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000
12,74EnNDPL2024/09/29,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,63.6240,0.0000,0.0000,0.0000,0.0000,27.6734,330.5323,31.9692,0.0000,69.6064,0.0000,0.0000,70.5400,0.0000,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,63.8528,31.5251,6.3090,13.0081,0.0000,13.7815,27.6795,0.0000,8.6973,21.1575,27.5855,0.0000,4.7738,2.7222,0.0000,0.0000,12.3228,0.0000,0.0000,0.0000,15.7676,3.3012,0.0000,0.0000,0.0000,3.3871,2.8908,0.0000,3.0683,2.9708,11.2118,15.1648,0.0000,0.0000,3.3625,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,4.2800,5.0800,0.0000,0.0000,0.0000,0.0000,0.0000,8.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6730,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000
13,74EnNDPL2024/09/29,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,63.6240,0.0000,0.0000,0.0000,0.0000,27.6734,330.5323,31.9692,0.0000,69.6064,0.0000,0.0000,70.5400,0.0000,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,63.8528,31.5251,6.3090,13.0081,0.0000,13.7815,27.6795,0.0000,8.6973,21.1575,27.5855,0.0000,4.7738,2.7222,0.0000,0.0000,12.3228,0.0000,0.0000,0.0000,15.7676,3.2551,0.0000,0.0000,0.0000,3.3871,2.8908,0.0000,3.0683,2.9708,11.2118,15.1648,0.0000,0.0000,2.9085,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,4.0900,5.0800,0.0000,0.0000,0.0000,0.0000,0.0000,8.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6730,0.0000,0.0000,0.0000,0.0000,200.0000,18.3300,0.0000,0.0000,100.0000
14,74EnNDPL2024/09/29,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,63.6240,0.0000,0.0000,0.0000,0.0000,27.6734,330.5323,31.9692,0.0000,69.6064,0.0000,0.0000,70.5400,0.0000,232.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,63.8528,31.5251,6.3090,13.0081,0.0000,13.7815,27.6795,0.0000,8.6973,21.1575,27.5855,0.0000,4.7738,2.7222,0.0000,0.0000,12.3228,0.0000,0.0000,0.0000,15.7676,3.2551,0.0000,0.0000,0.0000,3.3871,2.8908,0.0000,3.0683,2.9708,11.2118,15.1648,0.0000,0.0000,2.9085,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,4.0900,5.0800,0.0000,0.0000,0.0000,0.0000,0.0000,8.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6730,0.0000,0.0000,0.0000,0.0000,200.0000,18.3300,0.0000,0.0000,100.0000
15,74EnNDPL2024/09/29,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,63.6240,0.0000,0.0000,0.0000,0.0000,27.6734,330.5323,31.9692,0.0000,69.6064,0.0000,0.0000,70.5400,0.0000,193.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,63.8528,31.5251,6.3090,13.0081,0.0000,13.7815,27.6795,0.0000,8.6973,21.1575,27.5855,0.0000,4.7738,2.7222,0.0000,0.0000,12.3228,0.0000,0.0000,0.0000,15.7676,3.2122,0.0000,0.0000,0.0000,3.3871,2.8908,0.0000,3.0683,2.9708,11.2118,15.1648,0.0000,0.0000,2.9085,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,4.0900,5.0800,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6730,0.0000,0.0000,0.0000,0.0000,200.0000,18.3300,0.0000,0.0000,100.0000
16,74EnNDPL2024/09/29,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,63.6240,0.0000,0.0000,0.0000,0.0000,27.6734,330.5323,31.9692,0.0000,69.6064,0.0000,0.0000,70.5400,0.0000,193.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,63.8528,31.5251,6.3090,13.0081,0.0000,13.7815,27.6795,0.0000,8.6973,21.1575,27.5855,0.0000,4.7738,2.7222,0.0000,0.0000,12.3228,0.0000,0.0000,0.0000,15.7676,3.2122,0.0000,0.0000,0.0000,3.3871,2.8908,3.6356,3.0683,2.9708,11.2118,15.1648,0.0000,0.0000,2.9085,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,4.0900,5.0800,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6730,0.0000,0.0000,0.0000,0.0000,200.0000,18.3300,0.0000,0.0000,100.0000
17,74EnNDPL2024/09/29,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,63.6240,0.0000,0.0000,0.0000,0.0000,27.6734,330.5323,31.9692,0.0000,69.6064,0.0000,0.0000,70.5400,0.0000,150.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.0562,14.1138,36.4400,0.0000,63.8528,31.5251,6.3090,13.0081,0.0000,13.7815,27.6795,0.0000,8.6973,21.1575,27.5855,0.0000,4.7738,2.7222,0.0000,0.0000,12.3228,0.0000,0.0000,0.0000,15.7676,3.1662,0.0000,0.0000,0.0000,3.3871,2.8908,3.6356,3.0683,2.9708,11.2118,15.1648,0.0000,0.0000,2.9085,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,3.9100,4.9300,0.0000,0.0000,0.0000,0.0000,0.0000,7.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6730,0.0000,0.0000,0.0000,0.0000,200.0000,18.0500,0.0000,0.0000,100.0000
18,74EnNDPL2024/09/29,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,63.6240,0.0000,0.0000,0.0000,0.0000,27.6734,330.5323,31.9692,0.0000,69.6064,0.0000,0.0000,70.5400,0.0000,150.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.0562,14.1138,36.4400,0.0000,63.8528,31.5251,6.3090,13.0081,0.0000,13.7815,27.6795,0.0000,8.6973,21.1575,27.5855,0.0000,4.7738,2.7222,0.0000,0.0000,12.3228,0.0000,0.0000,0.0000,15.7676,3.1662,0.0000,0.0000,0.0000,3.3871,2.8908,3.6356,3.0683,2.9708,11.2118,15.1648,0.0000,0.0000,2.9085,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,3.9100,4.9300,0.0000,0.0000,0.0000,0.0000,0.0000,7.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6730,0.0000,0.0000,0.0000,0.0000,200.0000,18.0500,0.0000,0.0000,100.0000
19,74EnNDPL2024/09/29,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,63.6240,0.0000,0.0000,0.0000,0.0000,27.6734,330.5323,31.9692,0.0000,69.6064,0.0000,0.0000,70.5400,0.0000,150.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.0562,14.1138,36.4400,0.0000,63.8528,31.5251,6.3090,13.0081,0.0000,13.7815,27.6795,0.0000,8.6973,21.1575,27.5855,0.0000,4.7738,2.7222,0.0000,0.0000,12.3228,0.0000,0.0000,0.0000,15.7676,3.1662,0.0000,0.0000,0.0000,3.3871,2.8908,4.3105,3.0683,2.9708,11.2118,15.1648,0.0000,0.0000,2.9085,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,3.9100,4.9300,0.0000,0.0000,0.0000,0.0000,0.0000,7.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6730,0.0000,0.0000,0.0000,0.0000,200.0000,18.0500,0.0000,0.0000,100.0000
20,74EnNDPL2024/09/29,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,63.6240,0.0000,0.0000,0.0000,0.0000,27.6734,330.5323,31.9692,0.0000,69.6064,0.0000,0.0000,70.5400,0.0000,150.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.0562,14.1138,36.4400,0.0000,63.8528,31.5251,6.3090,13.0081,0.0000,13.7815,27.6795,0.0000,8.6973,21.1575,27.5855,0.0000,4.6983,2.7222,0.0000,0.0000,12.3228,0.0000,0.0000,0.0000,15.7676,3.1662,0.0000,0.0000,0.0000,3.3871,2.8908,4.3105,3.0683,2.9708,11.2118,15.1648,0.0000,0.0000,2.9085,2.0003,0.0000,0.0000,0.0000,137.0376,0.0000,0.0000,5.6800,0.0000,0.0000,200.0000,3.9100,4.9300,0.0000,0.0000,0.0000,0.0000,0.0000,7.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6730,0.0000,0.0000,0.0000,0.0000,200.0000,18.0500,0.0000,0.0000,100.0000
