timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
1,66EnBRPL2024/03/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,253.4535,0.0000,0.0000,7.3259,63.7744,51.8827,73.2868,57.3998,24.6763,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.7176,39.4709,0.0000,0.0000,5.8090,6.9394,0.0000,29.8353,0.0000,0.0000,0.0000,23.4621,0.0000,0.0000,0.0000,0.0000,17.4538,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,9.5339,2.8153,5.7272,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,8.0000,22.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.7638,25.0300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
2,66EnBRPL2024/03/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,253.4535,0.0000,0.0000,7.3259,63.7744,51.8827,73.2868,57.3998,24.6763,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.7176,39.4709,0.0000,0.0000,5.8090,6.9394,0.0000,29.8353,0.0000,0.0000,0.0000,23.4621,0.0000,0.0000,0.0000,0.0000,17.4538,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,9.5339,2.8153,5.7272,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,8.0000,21.3300,0.0000,0.0000,0.0000,0.0000,0.0000,10.7638,25.0300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
3,66EnBRPL2024/03/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,253.4535,0.0000,0.0000,7.3259,63.7744,51.8827,73.2868,57.3998,24.6763,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.7176,39.4709,0.0000,0.0000,5.8090,6.9394,0.0000,29.8353,0.0000,0.0000,0.0000,23.4621,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,9.5339,2.8153,5.7272,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,8.3400,20.6700,0.0000,0.0000,0.0000,0.0000,0.0000,10.7638,25.0300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
4,66EnBRPL2024/03/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,253.4535,0.0000,0.0000,7.3259,63.7744,51.8827,73.2868,57.3998,24.6763,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.7176,39.4709,0.0000,0.0000,5.8090,6.9394,0.0000,29.8353,0.0000,0.0000,0.0000,23.4621,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,9.5339,2.8153,5.7272,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,11.3400,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.7638,25.0300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
5,66EnBRPL2024/03/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,253.4535,0.0000,0.0000,7.3259,63.7744,51.8827,73.2868,57.3998,24.6763,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.7176,39.4709,0.0000,0.0000,5.8090,6.9394,0.0000,29.8353,0.0000,0.0000,0.0000,23.4621,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,9.5339,2.8153,5.7272,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,11.0000,19.6700,0.0000,0.0000,0.0000,0.0000,0.0000,10.7638,25.0300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
6,66EnBRPL2024/03/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,253.4535,0.0000,0.0000,7.3259,63.7744,51.8827,73.2868,57.3998,24.6763,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.7176,39.4709,0.0000,0.0000,5.8090,6.9394,0.0000,29.8353,0.0000,0.0000,0.0000,23.4621,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,20.8059,0.0000,5.7272,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,10.6600,19.6700,0.0000,0.0000,0.0000,0.0000,0.0000,10.7638,25.0300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
7,66EnBRPL2024/03/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,253.4535,0.0000,0.0000,7.3259,63.7744,51.8827,73.2868,57.3998,24.6763,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.7176,39.4709,0.0000,0.0000,5.8090,6.9394,0.0000,29.8353,0.0000,0.0000,0.0000,23.4621,0.0000,0.0000,0.0000,0.0000,17.4538,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,50.2804,0.0000,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,13.3400,26.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.7638,25.0300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
8,66EnBRPL2024/03/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,253.4535,0.0000,0.0000,7.3259,63.7744,51.8827,73.2868,57.3998,24.6763,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.7176,39.4709,0.0000,0.0000,5.8090,6.9394,0.0000,29.8353,0.0000,0.0000,0.0000,23.4621,0.0000,0.0000,0.0000,0.0000,17.4538,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,50.2804,0.0000,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,13.3400,26.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.7638,25.0300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
9,66EnBRPL2024/03/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,253.4535,0.0000,0.0000,7.3259,63.7744,51.8827,73.2868,57.3998,24.6763,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.7176,39.4709,0.0000,0.0000,5.8090,6.9394,0.0000,29.8353,0.0000,0.0000,0.0000,23.4621,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,41.6119,0.0000,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,13.0000,26.3300,0.0000,0.0000,0.0000,0.0000,0.0000,10.7638,25.0300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
10,66EnBRPL2024/03/15,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,253.4535,0.0000,0.0000,7.3259,63.7744,51.8827,73.2868,57.3998,24.6763,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.7176,39.4709,0.0000,0.0000,5.8090,6.9394,0.0000,29.8353,0.0000,0.0000,0.0000,23.4621,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,41.6119,0.0000,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,12.6600,26.3300,0.0000,0.0000,0.0000,0.0000,0.0000,10.7638,25.0300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
