timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
11,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,2.1583,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.1917,1.0070,2.7540,5.1040,0.0000,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,1.1664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,2.1583,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.1917,1.0070,2.7540,5.1040,0.0000,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,1.1664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,2.1583,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.3504,1.0070,2.7540,5.1040,0.0000,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,1.1664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,2.1583,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.3504,1.0070,2.7540,5.1040,0.0000,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,1.1664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,2.1583,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.3504,1.0070,2.7540,5.1040,0.0000,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,1.1664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,2.1583,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.3504,1.0070,2.7540,5.1040,0.0000,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,1.1664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,2.1583,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.3504,1.0070,2.7540,5.1040,0.2647,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,1.1664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,2.1583,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.3504,1.0070,2.7540,5.1040,1.4563,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,1.1664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,2.1583,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.3504,1.0070,2.7540,5.1040,0.3711,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,1.1664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,2.1242,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.3504,1.0070,2.7540,5.1040,0.3711,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,1.1664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,4.1424,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.3504,1.0070,2.7540,5.1040,0.3711,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,0.9720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,4.1424,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.3504,1.0070,2.7540,5.1040,0.5294,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,0.6318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,4.1424,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.3504,1.0070,2.7540,5.1040,0.7941,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,0.4860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.5837,8.3671,11.3424,4.0100,4.1424,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9274,0.0000,1.3504,1.0070,2.7540,5.1040,5.0972,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,0.2430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.4502,8.3671,11.3424,4.0100,4.1424,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9659,0.0000,1.3504,1.0070,2.7540,5.1040,5.0972,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.4502,8.3671,11.3424,4.0100,4.1424,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9659,0.0000,1.3504,1.0070,2.7540,5.1040,5.0972,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.4502,8.3671,11.3424,4.0100,4.1424,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9659,0.0000,1.3504,1.0070,2.7540,5.1040,5.0972,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.4502,8.3671,11.3424,4.0100,2.0706,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9659,0.0000,1.3504,1.0070,2.7540,5.1040,5.0972,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.4502,8.3671,11.3424,4.0100,0.0000,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9659,0.0000,1.3504,1.0070,2.7540,5.1040,5.0972,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.4502,8.3671,11.3424,4.0100,0.0000,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9659,0.0000,1.3504,1.0070,2.7540,5.1040,0.6622,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,65EnNDMC2024/09/30,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9600,99.0990,0.0000,0.0000,0.0000,0.0000,0.0000,9.3724,7.8686,0.0000,23.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4750,0.0000,0.0000,0.0000,1.3252,2.9454,3.2793,0.0000,3.9700,0.3982,1.3157,0.0000,0.0000,0.0000,0.0000,3.4502,8.3671,11.3424,4.0100,0.0000,0.7863,0.0000,0.0000,4.9422,0.0000,0.0000,2.0000,8.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.9659,0.0000,1.3504,1.0070,2.7540,5.1040,0.3711,0.0000,0.0000,0.0000,1.6200,0.0000,0.0000,45.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8900,0.0000,0.0000,16.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
