timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
1,62EnBRPL2024/03/25,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,51.8827,73.2868,62.1120,27.5277,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.5244,38.5091,0.0000,0.0000,6.1487,6.9394,0.0000,29.1699,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,0.0000,17.9413,14.2960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5339,2.5869,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,9.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,12.3400,48.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.1392,27.0800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
2,62EnBRPL2024/03/25,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,51.8827,73.2868,62.1120,27.5277,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.5244,38.5091,0.0000,0.0000,6.1487,6.9394,0.0000,29.1699,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,0.0000,17.9413,14.2960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5339,2.5869,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,8.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,12.6600,48.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.1392,27.0800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
3,62EnBRPL2024/03/25,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,51.8827,73.2868,62.1120,27.5277,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.5244,38.5091,0.0000,0.0000,6.1487,6.9394,0.0000,29.1699,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5339,2.5869,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,8.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,13.0000,49.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.1392,27.0800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
4,62EnBRPL2024/03/25,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,51.8827,73.2868,62.1120,27.5277,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.5244,38.5091,0.0000,0.0000,6.1487,6.9394,0.0000,29.1699,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5339,2.5869,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,13.3400,50.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.1392,27.0800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
5,62EnBRPL2024/03/25,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,51.8827,73.2868,62.1120,27.5277,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.5244,38.5091,0.0000,0.0000,6.1487,6.9394,0.0000,29.1699,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,9.5339,2.5869,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,13.6600,51.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1392,27.0800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
6,62EnBRPL2024/03/25,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,51.8827,73.2868,62.1120,27.5277,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.5244,38.5091,0.0000,0.0000,6.1487,6.9394,0.0000,29.1699,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,9.5339,2.5869,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,14.0000,51.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.1392,27.0800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
7,62EnBRPL2024/03/25,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,51.8827,73.2868,62.1120,27.5277,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.5244,38.5091,0.0000,0.0000,6.1487,6.9394,0.0000,29.1699,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,9.5339,0.0000,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,14.3400,51.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1392,27.0800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
8,62EnBRPL2024/03/25,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,51.8827,73.2868,62.1120,27.5277,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.7714,30.5244,38.5091,0.0000,0.0000,6.1487,6.9394,0.0000,29.1699,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,9.5339,0.0000,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,14.0000,52.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.1392,27.0800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
9,62EnBRPL2024/03/25,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,51.8827,73.2868,62.1120,27.5277,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.9559,30.5244,38.5091,0.0000,0.0000,6.1487,6.9394,0.0000,29.1699,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,11.2721,0.0000,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,14.3400,43.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.1392,27.0800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
10,62EnBRPL2024/03/25,BRPL,0.0000,0.0000,0.0000,0.0000,20.7650,0.0000,0.0000,0.0000,122.2300,0.0000,16.6120,76.3830,0.0000,0.0000,8.4870,0.0000,39.6158,9.4250,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.8995,0.0000,0.0000,9.1046,63.7744,51.8827,73.2868,62.1120,27.5277,4.7917,18.6177,11.5905,20.3789,64.7908,0.0000,18.9559,30.5244,38.5091,0.0000,0.0000,6.1487,6.9394,0.0000,29.1699,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,0.0000,15.0294,14.2960,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,59.2175,0.0000,2.8636,0.0000,0.0000,0.0000,392.9910,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,14.6600,43.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.1392,27.0800,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
