timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
11,50EnBYPL2024/05/28,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.9158,0.0000,17.0550,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.3612,38.8534,0.0000,57.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1908,0.0000,0.0000,4.0615,0.0000,30.1379,50.6132,288.7010,66.1242,5.5421,10.7694,6.7055,8.1712,25.1130,0.0000,10.0008,0.0000,21.4328,0.0000,0.0000,0.0000,2.7093,0.0000,0.0000,0.0000,0.0000,0.0000,13.2154,0.0000,0.0000,0.0000,0.0000,8.4125,8.1009,10.7061,10.0347,7.3805,9.2827,12.5580,8.0819,11.5113,1.4326,4.9682,0.0000,0.0000,0.0000,162.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8239,0.0000,0.0000,38.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,83.3300,0.0000,0.0000,0.0000,0.0000,2.9139,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
12,50EnBYPL2024/05/28,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.9158,0.0000,17.0550,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.3612,38.8534,0.0000,57.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1908,0.0000,0.0000,4.0615,0.0000,30.1379,50.6132,288.7010,66.1242,5.5421,10.7694,6.7055,8.1712,25.1130,0.0000,10.0008,0.0000,21.4328,0.0000,0.0000,0.0000,2.7093,0.0000,0.0000,0.0000,0.0000,0.0000,13.2154,0.0000,0.0000,0.0000,0.0000,8.4125,8.1009,10.7061,10.0347,7.3805,9.2827,12.5580,8.0819,11.5113,1.4326,4.9682,0.0000,0.0000,0.0000,162.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8239,0.0000,0.0000,38.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,83.3300,0.0000,0.0000,0.0000,0.0000,2.9139,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
13,50EnBYPL2024/05/28,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.9158,0.0000,17.0550,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.3612,38.8534,0.0000,57.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1908,0.0000,0.0000,4.0615,0.0000,29.4589,49.4107,288.7010,63.6777,5.5421,10.7694,6.7055,8.1712,25.1130,0.0000,10.0008,0.0000,21.7116,0.0000,0.0000,0.0000,2.7093,0.0000,0.0000,0.0000,0.0000,0.0000,13.2154,0.0000,0.0000,0.0000,0.0000,8.4125,8.1009,10.7061,10.0347,7.3805,9.2827,12.5580,8.0819,11.2166,1.4326,4.9682,0.0000,0.0000,0.0000,162.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9888,0.0000,0.0000,38.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,83.3300,0.0000,0.0000,0.0000,0.0000,2.9139,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
14,50EnBYPL2024/05/28,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.9158,0.0000,17.0550,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.3612,38.8534,0.0000,57.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1908,0.0000,0.0000,4.0615,0.0000,29.4589,49.4107,288.7010,63.6777,5.5421,10.7694,6.7055,8.1712,25.1130,0.0000,10.0008,0.0000,21.7116,0.0000,0.0000,0.0000,1.3536,0.0000,0.0000,0.0000,0.0000,0.0000,13.2154,0.0000,0.0000,0.0000,0.0000,8.4125,8.1009,10.7061,10.0347,7.3805,9.2827,12.5580,8.0819,11.2166,1.4326,4.9682,0.0000,0.0000,0.0000,162.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9888,0.0000,0.0000,38.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,83.3300,0.0000,0.0000,0.0000,0.0000,2.9139,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
15,50EnBYPL2024/05/28,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.9158,0.0000,17.0550,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.3612,38.8534,0.0000,57.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1908,0.0000,0.0000,4.0615,0.0000,29.4589,49.4107,288.7010,63.6777,5.5421,10.7694,6.7055,8.1712,25.1130,0.0000,10.0008,0.0000,21.7116,0.0000,0.0000,0.0000,1.3194,0.0000,0.0000,0.0000,0.0000,0.0000,13.2154,0.0000,0.0000,0.0000,0.0000,8.4125,8.1009,10.7061,10.0347,7.3805,9.2827,12.5580,8.0819,11.2166,1.7577,4.9682,0.0000,0.0000,0.0000,162.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9888,0.0000,0.0000,38.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,83.3300,0.0000,0.0000,0.0000,0.0000,2.9139,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
16,50EnBYPL2024/05/28,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.9158,0.0000,17.0550,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.3612,38.8534,0.0000,57.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1908,0.0000,0.0000,4.0615,0.0000,29.4589,49.4107,288.7010,63.6777,5.5421,10.7694,6.7055,8.1712,25.1130,0.0000,10.0008,0.0000,21.7116,0.0000,0.0000,0.0000,1.3194,0.0000,0.0000,0.0000,0.0000,0.0000,13.2154,0.0000,0.0000,0.0000,0.0000,8.4125,8.1009,10.7061,10.0347,7.3805,9.2827,12.5580,8.0819,11.2166,1.7577,4.9682,0.0000,0.0000,0.0000,162.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9888,0.0000,0.0000,38.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,83.3300,0.0000,0.0000,0.0000,0.0000,2.9139,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
17,50EnBYPL2024/05/28,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.9158,0.0000,17.0550,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.3612,38.8534,0.0000,57.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1908,0.0000,0.0000,4.2367,0.0000,29.4589,49.4107,288.7010,63.6777,5.5421,10.7694,6.7055,8.1712,25.1130,0.0000,10.0008,0.0000,21.7116,0.0000,0.0000,0.0000,1.3194,0.0000,0.0000,0.0000,0.0000,0.0000,13.2154,0.0000,0.0000,0.0000,0.0000,8.4125,8.1009,10.7061,10.0347,7.3805,9.2827,12.5580,4.8504,11.2166,1.7577,4.9682,0.0000,0.0000,0.0000,162.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9888,0.0000,0.0000,38.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,83.3300,0.0000,0.0000,0.0000,0.0000,2.9139,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
18,50EnBYPL2024/05/28,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.9158,0.0000,17.0550,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.3612,38.8534,0.0000,57.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1908,0.0000,0.0000,4.2367,0.0000,29.4589,49.4107,288.7010,63.6777,5.5421,10.4577,6.7055,8.1712,25.1130,0.0000,10.0008,0.0000,21.7116,0.0000,0.0000,0.0000,1.3194,0.0000,0.0000,0.0000,0.0000,0.0000,13.2154,0.0000,0.0000,0.0000,0.0000,8.4125,8.1009,10.7061,10.0347,7.3805,9.2827,12.5580,4.8504,11.2166,1.7577,4.9682,0.0000,0.0000,0.0000,162.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9888,0.0000,0.0000,38.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,83.3300,0.0000,0.0000,0.0000,0.0000,2.9139,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
19,50EnBYPL2024/05/28,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.9158,0.0000,17.0550,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.3612,38.8534,0.0000,57.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1908,0.0000,0.0000,4.2367,0.0000,29.4589,49.4107,288.7010,63.6777,5.5421,10.7694,6.7055,8.1712,25.1130,0.0000,10.0008,0.0000,21.7116,0.0000,0.0000,0.0000,1.3194,0.0000,0.0000,0.0000,0.0000,0.0000,13.2154,0.0000,0.0000,0.0000,0.0000,8.4125,8.1009,10.7061,10.0347,7.3805,9.2827,12.5580,4.8504,11.2166,1.7577,4.9682,0.0000,0.0000,0.0000,162.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9888,0.0000,0.0000,38.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,83.3300,0.0000,0.0000,0.0000,0.0000,2.9139,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
20,50EnBYPL2024/05/28,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.9158,0.0000,17.0550,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.3612,38.8534,0.0000,57.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1908,0.0000,0.0000,4.2367,0.0000,29.4589,49.4107,288.7010,63.6777,5.5421,10.7694,6.7055,8.1712,25.1130,0.0000,10.0008,0.0000,21.7116,0.0000,0.0000,0.0000,1.3194,0.0000,0.0000,0.0000,0.0000,0.0000,13.2154,0.0000,0.0000,0.0000,0.0000,8.4125,8.1009,10.7061,10.0347,7.3805,9.2827,12.5580,4.8504,11.2166,1.7577,4.9682,0.0000,0.0000,0.0000,162.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9888,0.0000,0.0000,38.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,83.3300,0.0000,0.0000,0.0000,0.0000,2.9139,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
