timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL
11,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,115.5100,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.2828,28.2256,36.2423,0.0000,52.4628,42.7403,5.2555,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,5.4708,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,14.5638,10.0692,13.0881,12.1217,9.0261,11.2258,15.1682,4.6879,0.0000,3.4178,4.0498,0.0000,0.0000,0.0000,266.4620,0.0000,1.0100,10.3300,0.0000,0.0000,200.0000,11.5100,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,14.5300,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
12,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,115.5100,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.2828,28.2256,36.2423,0.0000,52.4628,42.7403,5.2555,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,2.6111,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,14.5638,10.0692,13.0881,12.1217,9.0261,11.2258,15.1682,4.6879,0.0000,3.4178,4.0498,0.0000,0.0000,0.0000,266.4620,0.0000,1.0100,10.3300,0.0000,0.0000,200.0000,11.5100,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,14.4900,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
13,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.2828,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,2.6111,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,14.5638,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,5.8599,0.0000,3.2214,4.0498,0.0000,0.0000,0.0000,266.4620,0.0000,1.0100,10.3300,0.0000,0.0000,200.0000,11.3200,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,14.3500,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
14,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.2828,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,2.6111,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,14.5638,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,5.8599,0.0000,3.2214,4.0498,0.0000,0.0000,0.0000,266.4620,0.0000,1.0100,10.3300,0.0000,0.0000,200.0000,11.3200,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,14.1300,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
15,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.4116,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,2.6111,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,15.9199,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,5.8599,0.0000,3.2214,4.0498,0.0000,0.0000,0.0000,266.4620,0.0000,1.0100,10.3300,0.0000,0.0000,200.0000,11.3200,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,15.7900,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
16,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.4116,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,2.6111,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,15.9199,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,5.4672,0.0000,3.2214,4.0498,0.0000,0.0000,0.0000,266.4620,0.0000,1.0100,10.3300,0.0000,0.0000,200.0000,11.3200,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,15.5300,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
17,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.4116,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,0.0000,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,14.5638,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,5.4672,0.0000,3.2214,4.0498,0.0000,0.0000,0.0000,266.4620,0.0000,1.0100,10.3300,0.0000,0.0000,200.0000,11.1400,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,15.4000,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
18,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.4116,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,0.0000,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,14.5638,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,5.4672,0.0000,3.2214,4.0498,0.0000,0.0000,0.0000,266.4620,0.0000,1.0100,10.3300,0.0000,0.0000,200.0000,11.1400,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,15.0900,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
19,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.4116,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,0.0000,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,14.5638,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,1.9543,0.0000,3.2214,4.0498,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,10.3300,0.0000,0.0000,200.0000,11.5100,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,14.7800,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
20,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.4116,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,0.0000,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,14.5638,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,1.9543,0.0000,3.2214,4.0498,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,10.3300,0.0000,0.0000,200.0000,11.5100,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,14.5600,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
21,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.4116,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,0.0000,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,14.5638,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,5.4672,0.0000,3.2214,4.0221,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,10.3300,0.0000,0.0000,200.0000,11.4200,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,14.3500,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
22,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.4116,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,0.0000,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,14.5638,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,20.0647,0.0000,3.2214,4.0221,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,10.3300,0.0000,0.0000,200.0000,11.4200,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,13.5000,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
23,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.4116,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,0.0000,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,14.5638,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,20.0647,0.0000,3.2214,4.0221,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,10.3300,0.0000,0.0000,0.3300,11.4200,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,12.8600,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
24,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.4116,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,0.0000,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,14.5638,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,20.0647,0.0000,3.2214,4.0221,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,10.3300,0.0000,0.0000,2.9100,11.4200,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,12.5300,0.0000,0.0000,0.0000,0.0000,0.0000,1.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
25,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.4116,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,0.0000,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,14.5638,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,20.0647,0.0000,3.2214,4.0221,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,10.3300,0.0000,0.0000,7.5000,11.2800,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,12.2000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
26,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.4116,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,0.0000,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,15.9199,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,20.0647,0.0000,3.2214,4.0221,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,10.3300,0.0000,0.0000,11.7700,11.2800,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,11.6600,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
27,45EnNDPL2023/07/05,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9376,0.0000,24.9228,51.0920,0.0000,0.0000,8.6760,0.0000,23.5254,578.4950,46.9220,0.0000,87.0080,0.0000,0.0000,66.2700,0.0000,271.5200,0.8900,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,3.4116,28.2256,36.2423,0.0000,52.4628,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,12.8856,20.4912,10.0876,0.0000,0.0000,1.8163,4.8474,0.0000,3.6493,0.0000,0.0000,0.0000,15.6898,8.5689,0.0000,0.0000,14.1220,15.9199,9.7869,13.0881,12.1217,9.0261,11.2258,15.1682,15.2326,0.0000,3.2214,4.0221,0.0000,0.0000,0.0000,266.4620,0.0000,0.9900,10.3300,0.0000,0.0000,16.1100,11.2800,10.7500,0.0000,0.0000,0.0000,0.0000,0.0000,14.6400,0.0000,0.0000,0.0000,0.0000,0.0000,9.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9739
