Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
86,76IS2024/09/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,263.1500,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,389.8800,132.3600,0.0000,-6.5000,0.0000,0.0000,108.6300,88.3100,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,664.9300,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3500,20.3100,41.7100,0.0000,42.6400,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,16.8400,0.0000,44.0600,0.0000,0.0000,2.8500,58.6700,0.2800,0.0000,0.0000,0.0000,19.2600,20.0500,39.0500,42.8600,31.0900,39.1600,52.1300,3.8200,37.7300,9.4500,1.0700,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.8100,0.0000,0.0000,6.3400,0.0000,0.0000,0.0000,0.0000,47.5000,15.8400,15.8300,0.0000,0.0000,0.0000,0.0000,0.0000,13.6600,32.3300,32.3300,2.7100,1.6700,0.0000,2.7900,26.9500,27.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,76IS2024/09/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,263.1500,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,389.8800,132.3600,0.0000,-6.5000,0.0000,0.0000,108.6300,88.3100,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,664.9300,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3500,20.3100,41.7100,0.0000,42.6400,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,16.8400,0.0000,44.0600,0.0000,0.0000,2.8500,58.6700,0.2800,0.0000,0.0000,0.0000,19.2600,20.0500,39.0500,42.8600,31.0900,39.1600,52.1300,3.8200,37.7300,9.4500,1.0700,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.8200,0.0000,0.0000,6.3400,0.0000,0.0000,0.0000,0.0000,47.5000,15.8400,15.8300,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,32.3300,32.3300,2.7100,1.6700,0.0000,2.7900,26.9500,27.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,76IS2024/09/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,263.1500,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,389.8800,132.3600,0.0000,-6.5000,0.0000,0.0000,115.8400,88.3100,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,664.9300,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3500,20.3100,41.7100,0.0000,42.6400,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,16.8400,0.0000,44.0600,0.0000,0.0000,2.8500,58.6700,0.0000,0.0000,0.0000,0.0000,26.7500,20.0500,39.0500,42.8600,31.0900,39.1600,52.1300,3.8200,37.7300,10.6800,1.0700,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.8200,0.0000,0.0000,6.5200,0.0000,0.0000,0.0000,0.0000,47.5000,15.8400,15.8300,0.0000,0.0000,0.0000,0.0000,0.0000,14.3400,32.3300,32.3300,2.7100,1.6700,0.0000,2.7900,26.9500,28.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,76IS2024/09/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,263.1500,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.6600,389.8800,132.3600,0.0000,-6.5000,0.0000,0.0000,115.8400,88.3100,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,664.9300,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3500,20.3100,41.7100,0.0000,42.6400,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,37.4500,16.8400,0.0000,44.0600,0.0000,0.0000,2.8500,58.6700,0.0000,0.0000,0.0000,0.0000,26.7500,20.0500,39.0500,42.8600,31.0900,39.1600,52.1300,3.8200,37.7300,10.6800,1.0700,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.8200,0.0000,0.0000,6.5200,0.0000,0.0000,0.0000,0.0000,47.5000,15.8400,15.8300,0.0000,0.0000,0.0000,0.0000,0.0000,14.3400,32.6700,32.6700,2.7100,1.6700,0.0000,2.7900,26.9500,28.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,76IS2024/09/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,263.1500,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,389.8800,148.6300,0.0000,-6.5000,0.0000,0.0000,115.8400,88.3100,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,664.9300,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3500,20.3100,41.7100,0.0000,42.6400,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,44.0600,0.0000,0.0000,3.1900,58.6700,5.6700,0.0000,0.0000,0.0000,48.6800,20.0500,40.8500,44.2300,32.7100,40.1400,53.3800,3.8200,37.7300,11.5400,12.6400,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0200,0.0000,0.0000,6.5200,0.0000,0.0000,0.0000,0.0000,35.0000,11.6600,11.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.6600,33.0000,33.0000,2.7100,4.1900,0.0000,2.7900,26.9500,28.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,76IS2024/09/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,263.1500,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,389.8800,148.6300,0.0000,-6.5000,0.0000,0.0000,115.8400,88.3100,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,664.9300,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3500,20.3100,41.7100,0.0000,42.6400,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,44.0600,0.0000,0.0000,3.1900,58.6700,5.6000,0.0000,0.0000,0.0000,48.6800,20.0500,40.8500,44.2300,32.7100,40.1400,53.3800,3.8200,37.7300,11.5400,12.6400,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0200,0.0000,0.0000,6.5200,0.0000,0.0000,0.0000,0.0000,34.0000,11.3400,11.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.6600,33.3300,33.3300,2.7100,4.1900,0.0000,2.7900,26.9500,28.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,76IS2024/09/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,263.1500,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,389.8800,148.6300,0.0000,-6.5000,0.0000,0.0000,115.8400,88.3100,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,664.9300,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3500,20.3100,41.7100,0.0000,42.6400,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,44.0600,0.0000,0.0000,3.1900,58.6700,5.5600,0.0000,0.0000,0.0000,26.7500,20.0500,40.8500,44.2300,32.7100,40.1400,53.3800,17.7100,37.7300,11.5400,18.9600,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0200,0.0000,0.0000,6.7100,0.0000,0.0000,0.0000,0.0000,33.0000,11.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6600,33.3300,33.3300,2.7100,4.1900,0.0000,2.7900,26.9500,28.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,76IS2024/09/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,263.1500,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,389.8800,148.6300,0.0000,-6.5000,0.0000,0.0000,115.8400,88.3100,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,664.9300,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3500,20.3100,41.7100,0.0000,42.6400,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,44.0600,0.0000,0.0000,3.1900,58.6700,5.5100,0.0000,0.0000,0.0000,26.7500,20.0500,40.8500,44.2300,32.7100,40.1400,53.3800,52.4400,37.7300,11.5400,18.9600,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0200,0.0000,0.0000,6.7100,0.0000,0.0000,0.0000,0.0000,33.0000,11.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6600,33.6700,33.6700,2.7100,4.1900,0.0000,2.7900,26.9500,28.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,76IS2024/09/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,263.1500,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,389.8800,148.6300,0.0000,-6.5000,0.0000,0.0000,115.8400,88.3100,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,664.9300,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3500,20.3100,41.7100,0.0000,42.6400,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,44.0600,0.0000,0.0000,3.1900,58.6700,5.3800,0.0000,0.0000,0.0000,26.7500,20.0500,40.8500,44.2300,32.7100,40.1400,53.3800,52.4400,76.9400,11.5400,18.9600,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0200,0.0000,0.0000,5.9600,0.0000,0.0000,0.0000,0.0000,33.0000,11.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6600,34.0000,34.0000,2.7100,4.1900,0.0000,2.7900,26.9500,27.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,76IS2024/09/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,263.1500,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,389.8800,148.6300,0.0000,-6.5000,0.0000,0.0000,115.8400,88.3100,274.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,664.9300,0.0000,0.0000,20.1600,45.8700,117.9600,123.6700,149.3700,128.3500,20.3100,41.7100,0.0000,42.6400,95.8100,0.0000,0.0000,0.0000,0.0000,3.8900,74.5300,41.6200,16.8400,0.0000,44.0600,0.0000,0.0000,3.1900,58.6700,5.3800,0.0000,0.0000,0.0000,26.7500,21.4700,40.8500,44.2300,32.7100,40.1400,53.3800,52.4400,76.9400,11.5400,18.9600,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0200,0.0000,0.0000,5.9600,0.0000,0.0000,0.0000,0.0000,33.0000,11.0000,11.0000,0.6300,0.1300,2.0000,0.0000,0.0000,11.6600,33.6700,33.6700,2.7100,4.1900,0.0000,2.7900,26.9500,27.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
