genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,8.000398098,0,0,0,9.5193213786,0,0,0,,1.575164448,10.1812902048,11.8970078084,8.530696328495,12.43222688004,0,0,0,281.50135275823,10.66025850582,14.492943825745,5.02470695232,6.250056006205,,,10.70376516,35.558205705,,,,2.42916365373,,0,,17.11205318383,44.01611681159,,,,,,,4.110461591555,1.76671809556,0,16.68138564906,36.362841642435,14.72133699102,42.15798448345,,,30.5131904,32.671188,0,,,17.660476102555,,0.99426096,,2.93966442,0.92711530384,,,5.482755690225,10.899511486875,6.702314697595,0.81050301926,8.80051392,9.27370452525,
2,8.000398098,0,0,0,9.5193213786,0,0,0,,1.575164448,10.1812902048,11.8970078084,8.530696328495,12.43222688004,0,0,0,281.50135275823,10.66025850582,14.492943825745,5.02470695232,6.250056006205,,,10.70376516,35.558205705,,,,2.42916365373,,0,,17.11205318383,44.01611681159,,,,,,,4.110461591555,1.76671809556,0,16.68138564906,36.362841642435,14.72133699102,42.15798448345,,,30.5131904,32.671188,0,,,17.660476102555,,0.99426096,,2.93966442,0.92711530384,,,5.482755690225,10.899511486875,6.702314697595,0.81050301926,8.80051392,9.27370452525,
3,8.000398098,0,0,0,9.5193213786,0,0,0,,1.575164448,10.1812902048,11.8970078084,8.530696328495,12.43222688004,0,0,0,281.50135275823,10.66025850582,14.492943825745,5.02470695232,6.250056006205,,,10.70376516,35.558205705,,,,2.42916365373,,0,,17.11205318383,44.01611681159,,,,,,,4.110461591555,1.76671809556,0,16.68138564906,36.362841642435,14.72133699102,42.15798448345,,,30.5131904,32.671188,0,,,17.660476102555,,0.887733,,1.5471918,0.92711530384,,,5.482755690225,10.899511486875,6.702314697595,0.81050301926,8.80051392,9.27370452525,
4,8.000398098,0,0,0,9.5193213786,0,0,0,,1.575164448,10.1812902048,11.8970078084,8.530696328495,12.43222688004,0,0,0,281.50135275823,10.66025850582,14.492943825745,5.02470695232,6.250056006205,,,10.70376516,35.558205705,,,,2.42916365373,,0,,17.11205318383,44.01611681159,,,,,,,4.110461591555,1.76671809556,0,16.68138564906,36.362841642435,14.72133699102,42.15798448345,,,30.5131904,32.671188,0,,,17.660476102555,,0.887733,,1.5471918,0.92711530384,,,5.482755690225,10.899511486875,6.702314697595,0.81050301926,8.80051392,9.27370452525,
5,8.000398098,0,0,0,9.5193213786,0,0,0,,1.575164448,10.1812902048,11.8970078084,8.530696328495,12.43222688004,0,0,0,281.50135275823,10.66025850582,14.492943825745,5.02470695232,6.250056006205,,,10.70376516,35.558205705,,,,2.42916365373,,0,,17.11205318383,44.01611681159,,,,,,,4.110461591555,1.76671809556,0,16.68138564906,36.362841642435,14.72133699102,42.15798448345,,,30.5131904,32.671188,0,,,17.660476102555,,0.887733,,1.5471918,0.92711530384,,,5.482755690225,10.899511486875,6.702314697595,0.81050301926,8.80051392,9.27370452525,
6,8.000398098,0,0,0,9.5193213786,0,0,0,,1.575164448,10.1812902048,11.8970078084,8.530696328495,12.43222688004,0,0,0,281.50135275823,10.66025850582,14.492943825745,5.02470695232,6.250056006205,,,10.70376516,35.558205705,,,,2.42916365373,,0,,17.11205318383,44.01611681159,,,,,,,4.110461591555,1.76671809556,0,16.68138564906,36.362841642435,14.72133699102,42.15798448345,,,30.5131904,32.671188,0,,,17.660476102555,,0.887733,,1.5471918,0.92711530384,,,5.482755690225,10.899511486875,6.702314697595,0.81050301926,8.80051392,9.27370452525,
7,8.000398098,0,0,0,9.5193213786,0,0,0,,3.150328896,10.1812902048,11.8970078084,8.530696328495,12.43222688004,0,0,0,281.50135275823,10.66025850582,14.492943825745,5.02470695232,6.250056006205,,,10.70376516,35.558205705,,,,2.42916365373,,0,,17.11205318383,44.01611681159,,,,,,,4.110461591555,1.76671809556,0,16.68138564906,36.362841642435,14.72133699102,42.15798448345,,,30.5131904,32.671188,0,,,17.660476102555,,0.887733,,2.93966442,0.92711530384,,,5.482755690225,10.899511486875,6.702314697595,0.81050301926,8.80051392,9.27370452525,
8,8.000398098,0,0,0,9.5193213786,0,0,0,,3.150328896,10.1812902048,11.8970078084,8.530696328495,12.43222688004,0,0,0,281.50135275823,10.66025850582,14.492943825745,5.02470695232,6.250056006205,,,10.70376516,35.558205705,,,,2.42916365373,,0,,17.11205318383,44.01611681159,,,,,,,4.110461591555,1.76671809556,0,16.68138564906,36.362841642435,14.72133699102,42.15798448345,,,30.5131904,32.671188,0,,,17.660476102555,,0.887733,,2.93966442,0.92711530384,,,5.482755690225,10.899511486875,6.702314697595,0.81050301926,8.80051392,9.27370452525,
9,8.000398098,0,0,0,9.68344766004,0,0,0,,3.150328896,10.1812902048,11.8970078084,8.530696328495,12.43222688004,0,0,0,281.50135275823,10.66025850582,14.492943825745,5.02470695232,6.250056006205,,,10.70376516,35.558205705,,,,2.42916365373,,0,,17.11205318383,44.01611681159,,,,,,,1.046299167265,1.76671809556,0,16.68138564906,36.362841642435,14.72133699102,42.15798448345,,,30.5131904,32.671188,0,,,17.660476102555,,0.887733,,1.85663016,0.92711530384,,,5.482755690225,10.899511486875,6.702314697595,0.81050301926,8.80051392,9.27370452525,
10,8.000398098,0,0,0,9.68344766004,0,0,0,,3.150328896,10.1812902048,11.8970078084,8.530696328495,12.43222688004,0,0,0,281.50135275823,10.66025850582,14.492943825745,5.02470695232,6.250056006205,,,10.70376516,35.558205705,,,,2.42916365373,,0,,17.11205318383,44.01611681159,,,,,,,1.046299167265,1.76671809556,0,16.68138564906,36.362841642435,14.72133699102,42.15798448345,,,30.5131904,32.671188,0,,,17.660476102555,,0.887733,,1.85663016,0.92711530384,,,5.482755690225,10.899511486875,6.702314697595,0.81050301926,8.80051392,9.27370452525,
