timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
1,67EnBYPL2024/03/19,BYPL,0.0000,0.0000,0.0000,0.0000,11.3700,0.0000,0.0000,0.0000,35.3404,0.0000,9.0960,43.3890,0.0000,0.0000,4.8210,0.0000,22.9108,65.2301,0.0000,0.0000,57.6000,0.0000,0.0000,0.0000,103.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.2814,0.0000,0.0000,2.4714,0.0000,30.0050,50.3832,275.8059,62.2424,2.7711,10.7671,6.7031,11.7856,37.4701,0.0000,10.8560,17.7648,22.8270,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,13.5687,0.0000,0.0000,0.0000,0.0000,10.3759,5.4661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4922,1.4326,3.3122,0.0000,0.0000,0.0000,227.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,36.6700,0.0000,0.0000,0.0000,0.0000,6.0658,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
2,67EnBYPL2024/03/19,BYPL,0.0000,0.0000,0.0000,0.0000,11.3700,0.0000,0.0000,0.0000,35.3404,0.0000,9.0960,43.3890,0.0000,0.0000,4.8210,0.0000,22.9108,65.2301,0.0000,0.0000,57.6000,0.0000,0.0000,0.0000,103.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.2814,0.0000,0.0000,2.4714,0.0000,30.0050,50.3832,275.8059,62.2424,2.7711,10.7671,6.7031,11.7856,37.4701,0.0000,10.8560,17.7648,22.8270,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,13.5687,0.0000,0.0000,0.0000,0.0000,10.3759,5.4661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4922,1.4326,3.3122,0.0000,0.0000,0.0000,227.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1600,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,38.3300,0.0000,0.0000,0.0000,0.0000,6.0658,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
3,67EnBYPL2024/03/19,BYPL,0.0000,0.0000,0.0000,0.0000,11.3700,0.0000,0.0000,0.0000,35.3404,0.0000,9.0960,43.3890,0.0000,0.0000,4.8210,0.0000,22.9108,65.2301,0.0000,0.0000,57.6000,0.0000,0.0000,0.0000,103.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.2814,0.0000,0.0000,2.4714,0.0000,30.0050,50.3832,275.8059,62.2424,2.7711,10.7671,6.7031,11.7856,37.4701,0.0000,10.8560,17.7648,22.8270,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,13.5687,0.0000,0.0000,0.0000,0.0000,8.6919,6.1493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4922,1.4326,3.3122,0.0000,0.0000,0.0000,227.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000,6.0658,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
4,67EnBYPL2024/03/19,BYPL,0.0000,0.0000,0.0000,0.0000,11.3700,0.0000,0.0000,0.0000,35.3404,0.0000,9.0960,43.3890,0.0000,0.0000,4.8210,0.0000,22.9108,65.2301,0.0000,0.0000,57.6000,0.0000,0.0000,0.0000,103.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.2814,0.0000,0.0000,2.4714,0.0000,30.0050,50.3832,275.8059,62.2424,2.7711,10.7671,6.7031,11.7856,37.4701,0.0000,10.8560,17.7648,22.8270,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,13.5687,0.0000,0.0000,0.0000,0.0000,8.6919,6.1493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4922,1.4326,3.3122,0.0000,0.0000,0.0000,227.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,6.0658,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
5,67EnBYPL2024/03/19,BYPL,0.0000,0.0000,0.0000,0.0000,11.3700,0.0000,0.0000,0.0000,35.3404,0.0000,9.0960,43.3890,0.0000,0.0000,4.8210,0.0000,22.9108,65.2301,0.0000,0.0000,57.6000,0.0000,0.0000,0.0000,103.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.2814,0.0000,0.0000,2.4714,0.0000,30.0050,50.3832,275.8059,62.2424,2.7711,10.7671,6.7031,11.7856,37.4701,0.0000,10.8560,17.7648,22.8270,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,13.5687,0.0000,0.0000,0.0000,0.0000,8.6919,8.2677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4922,0.0000,3.3122,0.0000,0.0000,0.0000,227.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1600,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,43.6700,0.0000,0.0000,0.0000,0.0000,6.0658,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
6,67EnBYPL2024/03/19,BYPL,0.0000,0.0000,0.0000,0.0000,11.3700,0.0000,0.0000,0.0000,35.3404,0.0000,9.0960,43.3890,0.0000,0.0000,4.8210,0.0000,22.9108,65.2301,0.0000,0.0000,57.6000,0.0000,0.0000,0.0000,103.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.2814,0.0000,0.0000,2.4714,0.0000,30.0050,50.3832,275.8059,62.2424,2.7711,10.7671,6.7031,11.7856,37.4701,0.0000,10.8560,17.7648,22.8270,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,13.5687,0.0000,0.0000,0.0000,0.0000,8.6919,8.2677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4922,0.0000,3.3122,0.0000,0.0000,0.0000,227.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.1600,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,34.3300,0.0000,0.0000,0.0000,0.0000,6.0658,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
7,67EnBYPL2024/03/19,BYPL,0.0000,0.0000,0.0000,0.0000,11.3700,0.0000,0.0000,0.0000,35.3404,0.0000,9.0960,43.3890,0.0000,0.0000,4.8210,0.0000,22.9108,65.2301,0.0000,0.0000,57.6000,0.0000,0.0000,0.0000,103.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.2814,0.0000,0.0000,2.4714,0.0000,30.0050,50.3832,275.8059,62.2424,2.7711,10.7671,6.7031,11.7856,37.4701,0.0000,10.8560,17.7648,22.8270,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,13.5687,0.0000,0.0000,0.0000,0.0000,8.6919,8.2677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4922,0.0000,3.3122,0.0000,0.0000,0.0000,227.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,34.3300,0.0000,0.0000,0.0000,0.0000,6.0658,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
8,67EnBYPL2024/03/19,BYPL,0.0000,0.0000,0.0000,0.0000,11.3700,0.0000,0.0000,0.0000,35.3404,0.0000,9.0960,43.3890,0.0000,0.0000,4.8210,0.0000,22.9108,65.2301,0.0000,0.0000,57.6000,0.0000,0.0000,0.0000,103.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.2814,0.0000,0.0000,2.4714,0.0000,30.0050,50.3832,275.8059,62.2424,2.7711,10.7671,6.7031,11.7856,37.4701,0.0000,10.8560,17.7648,22.8270,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,13.5687,0.0000,0.0000,0.0000,0.0000,8.6919,8.2677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4922,0.0000,3.3122,0.0000,0.0000,0.0000,227.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,34.3300,0.0000,0.0000,0.0000,0.0000,6.0658,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
9,67EnBYPL2024/03/19,BYPL,0.0000,0.0000,0.0000,0.0000,11.3700,0.0000,0.0000,0.0000,35.3404,0.0000,9.0960,43.3890,0.0000,0.0000,4.8210,0.0000,22.9108,65.2301,0.0000,0.0000,57.6000,0.0000,0.0000,0.0000,103.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.2814,0.0000,0.0000,2.4714,0.0000,30.0050,50.3832,275.8059,62.2424,2.7711,10.7671,6.7031,11.7856,37.4701,0.0000,10.9626,17.7648,22.8270,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,13.5687,0.0000,0.0000,0.0000,0.0000,8.6919,8.2677,0.0000,0.0000,0.0000,0.0000,4.1859,0.0000,6.4922,0.0000,3.3122,0.0000,0.0000,0.0000,227.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1600,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,27.3300,0.0000,0.0000,0.0000,0.0000,6.0658,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
10,67EnBYPL2024/03/19,BYPL,0.0000,0.0000,0.0000,0.0000,11.3700,0.0000,0.0000,0.0000,35.3404,0.0000,9.0960,43.3890,0.0000,0.0000,4.8210,0.0000,22.9108,65.2301,0.0000,0.0000,57.6000,0.0000,0.0000,0.0000,103.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.2814,0.0000,0.0000,2.4714,0.0000,30.0050,50.3832,275.8059,62.2424,2.7711,10.7671,6.7031,11.7856,37.4701,0.0000,10.9626,17.7648,22.8270,0.0000,0.0000,0.0000,4.0132,0.0000,0.0000,0.0000,0.0000,0.0000,13.5687,0.0000,0.0000,0.0000,0.0000,8.6919,8.2677,0.0000,0.0000,0.0000,0.0000,4.1859,0.0000,6.4922,0.0000,3.3122,0.0000,0.0000,0.0000,227.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5000,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,27.3300,0.0000,0.0000,0.0000,0.0000,6.0658,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000
